We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [`@+%|] = [{&$]: AB + CD = EFG  (r.len=3, sym=['A', 'B', 'C', 'D', 'E', 'F', 'G'], |sym|=7)
fact1 ['{+@`] = [{{`]: HE + BA = EEA  (r.len=3, sym=['A', 'B', 'E', 'H'], |sym|=4)
fact2 [`'*#@] = [`'#@]: AH * JB = AHJB  (r.len=4, sym=['A', 'B', 'H', 'J'], |sym|=4)
fact3 [''+%'] = [##]: HH + CH = JJ  (r.len=2, sym=['C', 'H', 'J'], |sym|=3)
  R933: concat(18,63) = 1863 -> J=6,H=8,B=3,A=1
  R934: concat(18,64) = 1864 -> J=6,H=8,B=4,A=1
  R935: concat(18,65) = 1865 -> J=6,H=8,B=5,A=1
  R936: concat(18,67) = 1867 -> J=6,H=8,B=7,A=1
  R937: concat(18,69) = 1869 -> J=6,H=8,B=9,A=1
  R938: concat(18,70) = 1870 -> J=7,H=8,B=0,A=1
  R939: concat(18,72) = 1872 -> J=7,H=8,B=2,A=1
  R940: concat(18,73) = 1873 -> J=7,H=8,B=3,A=1
  R941: concat(18,74) = 1874 -> J=7,H=8,B=4,A=1
  R942: concat(18,75) = 1875 -> J=7,H=8,B=5,A=1
  R943: concat(18,76) = 1876 -> J=7,H=8,B=6,A=1
  R944: concat(18,79) = 1879 -> J=7,H=8,B=9,A=1
  R945: concat(18,90) = 1890 -> J=9,H=8,B=0,A=1
  R946: concat(18,92) = 1892 -> J=9,H=8,B=2,A=1
  R947: concat(18,93) = 1893 -> J=9,H=8,B=3,A=1
  R948: concat(18,94) = 1894 -> J=9,H=8,B=4,A=1
  R949: concat(18,95) = 1895 -> J=9,H=8,B=5,A=1
  R950: concat(18,96) = 1896 -> J=9,H=8,B=6,A=1
  R951: concat(18,97) = 1897 -> J=9,H=8,B=7,A=1
  R952: concat(19,02) = 1902 -> J=0,H=9,B=2,A=1
  R953: concat(19,03) = 1903 -> J=0,H=9,B=3,A=1
  R954: concat(19,04) = 1904 -> J=0,H=9,B=4,A=1
  R955: concat(19,05) = 1905 -> J=0,H=9,B=5,A=1
  R956: concat(19,06) = 1906 -> J=0,H=9,B=6,A=1
  R957: concat(19,07) = 1907 -> J=0,H=9,B=7,A=1
  R958: concat(19,08) = 1908 -> J=0,H=9,B=8,A=1
  R959: concat(19,20) = 1920 -> J=2,H=9,B=0,A=1
  R960: concat(19,23) = 1923 -> J=2,H=9,B=3,A=1
  R961: concat(19,24) = 1924 -> J=2,H=9,B=4,A=1
  R962: concat(19,25) = 1925 -> J=2,H=9,B=5,A=1
  R963: concat(19,26) = 1926 -> J=2,H=9,B=6,A=1
  R964: concat(19,27) = 1927 -> J=2,H=9,B=7,A=1
  R965: concat(19,28) = 1928 -> J=2,H=9,B=8,A=1
  R966: concat(19,30) = 1930 -> J=3,H=9,B=0,A=1
  R967: concat(19,32) = 1932 -> J=3,H=9,B=2,A=1
  R968: concat(19,34) = 1934 -> J=3,H=9,B=4,A=1
  R969: concat(19,35) = 1935 -> J=3,H=9,B=5,A=1
  R970: concat(19,36) = 1936 -> J=3,H=9,B=6,A=1
  R971: concat(19,37) = 1937 -> J=3,H=9,B=7,A=1
  R972: concat(19,38) = 1938 -> J=3,H=9,B=8,A=1
  R973: concat(19,40) = 1940 -> J=4,H=9,B=0,A=1
  R974: concat(19,42) = 1942 -> J=4,H=9,B=2,A=1
  R975: concat(19,43) = 1943 -> J=4,H=9,B=3,A=1
  R976: concat(19,45) = 1945 -> J=4,H=9,B=5,A=1
  R977: concat(19,46) = 1946 -> J=4,H=9,B=6,A=1
  R978: concat(19,47) = 1947 -> J=4,H=9,B=7,A=1
  R979: concat(19,48) = 1948 -> J=4,H=9,B=8,A=1
  R980: concat(19,50) = 1950 -> J=5,H=9,B=0,A=1
  R981: concat(19,52) = 1952 -> J=5,H=9,B=2,A=1
  R982: concat(19,53) = 1953 -> J=5,H=9,B=3,A=1
  R983: concat(19,54) = 1954 -> J=5,H=9,B=4,A=1
  R984: concat(19,56) = 1956 -> J=5,H=9,B=6,A=1
  R985: concat(19,57) = 1957 -> J=5,H=9,B=7,A=1
  R986: concat(19,58) = 1958 -> J=5,H=9,B=8,A=1
  R987: concat(19,60) = 1960 -> J=6,H=9,B=0,A=1
  R988: concat(19,62) = 1962 -> J=6,H=9,B=2,A=1
  R989: concat(19,63) = 1963 -> J=6,H=9,B=3,A=1
  R990: concat(19,64) = 1964 -> J=6,H=9,B=4,A=1
  R991: concat(19,65) = 1965 -> J=6,H=9,B=5,A=1
  R992: concat(19,67) = 1967 -> J=6,H=9,B=7,A=1
  R993: concat(19,68) = 1968 -> J=6,H=9,B=8,A=1
  R994: concat(19,70) = 1970 -> J=7,H=9,B=0,A=1
  R995: concat(19,72) = 1972 -> J=7,H=9,B=2,A=1
  R996: concat(19,73) = 1973 -> J=7,H=9,B=3,A=1
  R997: concat(19,74) = 1974 -> J=7,H=9,B=4,A=1
  R998: concat(19,75) = 1975 -> J=7,H=9,B=5,A=1
  R999: concat(19,76) = 1976 -> J=7,H=9,B=6,A=1
  R1000: concat(19,78) = 1978 -> J=7,H=9,B=8,A=1
  R1001: concat(19,80) = 1980 -> J=8,H=9,B=0,A=1
  R1002: concat(19,82) = 1982 -> J=8,H=9,B=2,A=1
  R1003: concat(19,83) = 1983 -> J=8,H=9,B=3,A=1
  R1004: concat(19,84) = 1984 -> J=8,H=9,B=4,A=1
  R1005: concat(19,85) = 1985 -> J=8,H=9,B=5,A=1
  R1006: concat(19,86) = 1986 -> J=8,H=9,B=6,A=1
  R1007: concat(19,87) = 1987 -> J=8,H=9,B=7,A=1
  R1008: concat(20,13) = 2013 -> J=1,H=0,B=3,A=2
  R1009: concat(20,14) = 2014 -> J=1,H=0,B=4,A=2
  R1010: concat(20,15) = 2015 -> J=1,H=0,B=5,A=2
  R1011: concat(20,16) = 2016 -> J=1,H=0,B=6,A=2
  R1012: concat(20,17) = 2017 -> J=1,H=0,B=7,A=2
  R1013: concat(20,18) = 2018 -> J=1,H=0,B=8,A=2
  R1014: concat(20,19) = 2019 -> J=1,H=0,B=9,A=2
  R1015: concat(20,31) = 2031 -> J=3,H=0,B=1,A=2
  R1016: concat(20,34) = 2034 -> J=3,H=0,B=4,A=2
  R1017: concat(20,35) = 2035 -> J=3,H=0,B=5,A=2
  R1018: concat(20,36) = 2036 -> J=3,H=0,B=6,A=2
  R1019: concat(20,37) = 2037 -> J=3,H=0,B=7,A=2
  R1020: concat(20,38) = 2038 -> J=3,H=0,B=8,A=2
  R1021: concat(20,39) = 2039 -> J=3,H=0,B=9,A=2
  R1022: concat(20,41) = 2041 -> J=4,H=0,B=1,A=2
  R1023: concat(20,43) = 2043 -> J=4,H=0,B=3,A=2
  R1024: concat(20,45) = 2045 -> J=4,H=0,B=5,A=2
  R1025: concat(20,46) = 2046 -> J=4,H=0,B=6,A=2
  R1026: concat(20,47) = 2047 -> J=4,H=0,B=7,A=2
  R1027: concat(20,48) = 2048 -> J=4,H=0,B=8,A=2
  R1028: concat(20,49) = 2049 -> J=4,H=0,B=9,A=2
  R1029: concat(20,51) = 2051 -> J=5,H=0,B=1,A=2
  R1030: concat(20,53) = 2053 -> J=5,H=0,B=3,A=2
  R1031: concat(20,54) = 2054 -> J=5,H=0,B=4,A=2
  R1032: concat(20,56) = 2056 -> J=5,H=0,B=6,A=2
  R1033: concat(20,57) = 2057 -> J=5,H=0,B=7,A=2
  R1034: concat(20,58) = 2058 -> J=5,H=0,B=8,A=2
  R1035: concat(20,59) = 2059 -> J=5,H=0,B=9,A=2
  R1036: concat(20,61) = 2061 -> J=6,H=0,B=1,A=2
  R1037: concat(20,63) = 2063 -> J=6,H=0,B=3,A=2
  R1038: concat(20,64) = 2064 -> J=6,H=0,B=4,A=2
  R1039: concat(20,65) = 2065 -> J=6,H=0,B=5,A=2
  R1040: concat(20,67) = 2067 -> J=6,H=0,B=7,A=2
  R1041: concat(20,68) = 2068 -> J=6,H=0,B=8,A=2
  R1042: concat(20,69) = 2069 -> J=6,H=0,B=9,A=2
  R1043: concat(20,71) = 2071 -> J=7,H=0,B=1,A=2
  R1044: concat(20,73) = 2073 -> J=7,H=0,B=3,A=2
  R1045: concat(20,74) = 2074 -> J=7,H=0,B=4,A=2
  R1046: concat(20,75) = 2075 -> J=7,H=0,B=5,A=2
  R1047: concat(20,76) = 2076 -> J=7,H=0,B=6,A=2
  R1048: concat(20,78) = 2078 -> J=7,H=0,B=8,A=2
  R1049: concat(20,79) = 2079 -> J=7,H=0,B=9,A=2
  R1050: concat(20,81) = 2081 -> J=8,H=0,B=1,A=2
  R1051: concat(20,83) = 2083 -> J=8,H=0,B=3,A=2
  R1052: concat(20,84) = 2084 -> J=8,H=0,B=4,A=2
  R1053: concat(20,85) = 2085 -> J=8,H=0,B=5,A=2
  R1054: concat(20,86) = 2086 -> J=8,H=0,B=6,A=2
  R1055: concat(20,87) = 2087 -> J=8,H=0,B=7,A=2
  R1056: concat(20,89) = 2089 -> J=8,H=0,B=9,A=2
  R1057: concat(20,91) = 2091 -> J=9,H=0,B=1,A=2
  R1058: concat(20,93) = 2093 -> J=9,H=0,B=3,A=2
  R1059: concat(20,94) = 2094 -> J=9,H=0,B=4,A=2
  R1060: concat(20,95) = 2095 -> J=9,H=0,B=5,A=2
  R1061: concat(20,96) = 2096 -> J=9,H=0,B=6,A=2
  R1062: concat(20,97) = 2097 -> J=9,H=0,B=7,A=2
  R1063: concat(20,98) = 2098 -> J=9,H=0,B=8,A=2
  R1064: concat(21,03) = 2103 -> J=0,H=1,B=3,A=2
  R1065: concat(21,04) = 2104 -> J=0,H=1,B=4,A=2
  R1066: concat(21,05) = 2105 -> J=0,H=1,B=5,A=2
  R1067: concat(21,06) = 2106 -> J=0,H=1,B=6,A=2
  R1068: concat(21,07) = 2107 -> J=0,H=1,B=7,A=2
  R1069: concat(21,08) = 2108 -> J=0,H=1,B=8,A=2
  R1070: concat(21,09) = 2109 -> J=0,H=1,B=9,A=2
  R1071: concat(21,30) = 2130 -> J=3,H=1,B=0,A=2
  R1072: concat(21,34) = 2134 -> J=3,H=1,B=4,A=2
  R1073: concat(21,35) = 2135 -> J=3,H=1,B=5,A=2
  R1074: concat(21,36) = 2136 -> J=3,H=1,B=6,A=2
  R1075: concat(21,37) = 2137 -> J=3,H=1,B=7,A=2
  R1076: concat(21,38) = 2138 -> J=3,H=1,B=8,A=2
  R1077: concat(21,39) = 2139 -> J=3,H=1,B=9,A=2
  R1078: concat(21,40) = 2140 -> J=4,H=1,B=0,A=2
  R1079: concat(21,43) = 2143 -> J=4,H=1,B=3,A=2
  R1080: concat(21,45) = 2145 -> J=4,H=1,B=5,A=2
  R1081: concat(21,46) = 2146 -> J=4,H=1,B=6,A=2
  R1082: concat(21,47) = 2147 -> J=4,H=1,B=7,A=2
  R1083: concat(21,48) = 2148 -> J=4,H=1,B=8,A=2
  R1084: concat(21,49) = 2149 -> J=4,H=1,B=9,A=2
  R1085: concat(21,50) = 2150 -> J=5,H=1,B=0,A=2
  R1086: concat(21,53) = 2153 -> J=5,H=1,B=3,A=2
  R1087: concat(21,54) = 2154 -> J=5,H=1,B=4,A=2
  R1088: concat(21,56) = 2156 -> J=5,H=1,B=6,A=2
  R1089: concat(21,57) = 2157 -> J=5,H=1,B=7,A=2
  R1090: concat(21,58) = 2158 -> J=5,H=1,B=8,A=2
  R1091: concat(21,59) = 2159 -> J=5,H=1,B=9,A=2
  R1092: concat(21,60) = 2160 -> J=6,H=1,B=0,A=2
  R1093: concat(21,63) = 2163 -> J=6,H=1,B=3,A=2
  R1094: concat(21,64) = 2164 -> J=6,H=1,B=4,A=2
  R1095: concat(21,65) = 2165 -> J=6,H=1,B=5,A=2
  R1096: concat(21,67) = 2167 -> J=6,H=1,B=7,A=2
  R1097: concat(21,68) = 2168 -> J=6,H=1,B=8,A=2
  R1098: concat(21,69) = 2169 -> J=6,H=1,B=9,A=2
  R1099: concat(21,70) = 2170 -> J=7,H=1,B=0,A=2
  R1100: concat(21,73) = 2173 -> J=7,H=1,B=3,A=2
  R1101: concat(21,74) = 2174 -> J=7,H=1,B=4,A=2
  R1102: concat(21,75) = 2175 -> J=7,H=1,B=5,A=2
  R1103: concat(21,76) = 2176 -> J=7,H=1,B=6,A=2
  R1104: concat(21,78) = 2178 -> J=7,H=1,B=8,A=2
  R1105: concat(21,79) = 2179 -> J=7,H=1,B=9,A=2
  R1106: concat(21,80) = 2180 -> J=8,H=1,B=0,A=2
  R1107: concat(21,83) = 2183 -> J=8,H=1,B=3,A=2
  R1108: concat(21,84) = 2184 -> J=8,H=1,B=4,A=2
  R1109: concat(21,85) = 2185 -> J=8,H=1,B=5,A=2
  R1110: concat(21,86) = 2186 -> J=8,H=1,B=6,A=2
  R1111: concat(21,87) = 2187 -> J=8,H=1,B=7,A=2
  R1112: concat(21,89) = 2189 -> J=8,H=1,B=9,A=2
  R1113: concat(21,90) = 2190 -> J=9,H=1,B=0,A=2
  R1114: concat(21,93) = 2193 -> J=9,H=1,B=3,A=2
  R1115: concat(21,94) = 2194 -> J=9,H=1,B=4,A=2
  R1116: concat(21,95) = 2195 -> J=9,H=1,B=5,A=2
  R1117: concat(21,96) = 2196 -> J=9,H=1,B=6,A=2
  R1118: concat(21,97) = 2197 -> J=9,H=1,B=7,A=2
  R1119: concat(21,98) = 2198 -> J=9,H=1,B=8,A=2
  R1120: concat(23,01) = 2301 -> J=0,H=3,B=1,A=2
  R1121: concat(23,04) = 2304 -> J=0,H=3,B=4,A=2
  R1122: concat(23,05) = 2305 -> J=0,H=3,B=5,A=2
  R1123: concat(23,06) = 2306 -> J=0,H=3,B=6,A=2
  R1124: concat(23,07) = 2307 -> J=0,H=3,B=7,A=2
  R1125: concat(23,08) = 2308 -> J=0,H=3,B=8,A=2
  R1126: concat(23,09) = 2309 -> J=0,H=3,B=9,A=2
  R1127: concat(23,10) = 2310 -> J=1,H=3,B=0,A=2
  R1128: concat(23,14) = 2314 -> J=1,H=3,B=4,A=2
  R1129: concat(23,15) = 2315 -> J=1,H=3,B=5,A=2
  R1130: concat(23,16) = 2316 -> J=1,H=3,B=6,A=2
  R1131: concat(23,17) = 2317 -> J=1,H=3,B=7,A=2
  R1132: concat(23,18) = 2318 -> J=1,H=3,B=8,A=2
  R1133: concat(23,19) = 2319 -> J=1,H=3,B=9,A=2
  R1134: concat(23,40) = 2340 -> J=4,H=3,B=0,A=2
  R1135: concat(23,41) = 2341 -> J=4,H=3,B=1,A=2
  R1136: concat(23,45) = 2345 -> J=4,H=3,B=5,A=2
  R1137: concat(23,46) = 2346 -> J=4,H=3,B=6,A=2
  R1138: concat(23,47) = 2347 -> J=4,H=3,B=7,A=2
  R1139: concat(23,48) = 2348 -> J=4,H=3,B=8,A=2
  R1140: concat(23,49) = 2349 -> J=4,H=3,B=9,A=2
  R1141: concat(23,50) = 2350 -> J=5,H=3,B=0,A=2
  R1142: concat(23,51) = 2351 -> J=5,H=3,B=1,A=2
  R1143: concat(23,54) = 2354 -> J=5,H=3,B=4,A=2
  R1144: concat(23,56) = 2356 -> J=5,H=3,B=6,A=2
  R1145: concat(23,57) = 2357 -> J=5,H=3,B=7,A=2
  R1146: concat(23,58) = 2358 -> J=5,H=3,B=8,A=2
  R1147: concat(23,59) = 2359 -> J=5,H=3,B=9,A=2
  R1148: concat(23,60) = 2360 -> J=6,H=3,B=0,A=2
  R1149: concat(23,61) = 2361 -> J=6,H=3,B=1,A=2
  R1150: concat(23,64) = 2364 -> J=6,H=3,B=4,A=2
  R1151: concat(23,65) = 2365 -> J=6,H=3,B=5,A=2
  R1152: concat(23,67) = 2367 -> J=6,H=3,B=7,A=2
  R1153: concat(23,68) = 2368 -> J=6,H=3,B=8,A=2
  R1154: concat(23,69) = 2369 -> J=6,H=3,B=9,A=2
  R1155: concat(23,70) = 2370 -> J=7,H=3,B=0,A=2
  R1156: concat(23,71) = 2371 -> J=7,H=3,B=1,A=2
  R1157: concat(23,74) = 2374 -> J=7,H=3,B=4,A=2
  R1158: concat(23,75) = 2375 -> J=7,H=3,B=5,A=2
  R1159: concat(23,76) = 2376 -> J=7,H=3,B=6,A=2
  R1160: concat(23,78) = 2378 -> J=7,H=3,B=8,A=2
  R1161: concat(23,79) = 2379 -> J=7,H=3,B=9,A=2
  R1162: concat(23,80) = 2380 -> J=8,H=3,B=0,A=2
  R1163: concat(23,81) = 2381 -> J=8,H=3,B=1,A=2
  R1164: concat(23,84) = 2384 -> J=8,H=3,B=4,A=2
  R1165: concat(23,85) = 2385 -> J=8,H=3,B=5,A=2
  R1166: concat(23,86) = 2386 -> J=8,H=3,B=6,A=2
  R1167: concat(23,87) = 2387 -> J=8,H=3,B=7,A=2
  R1168: concat(23,89) = 2389 -> J=8,H=3,B=9,A=2
  R1169: concat(23,90) = 2390 -> J=9,H=3,B=0,A=2
  R1170: concat(23,91) = 2391 -> J=9,H=3,B=1,A=2
  R1171: concat(23,94) = 2394 -> J=9,H=3,B=4,A=2
  R1172: concat(23,95) = 2395 -> J=9,H=3,B=5,A=2
  R1173: concat(23,96) = 2396 -> J=9,H=3,B=6,A=2
  R1174: concat(23,97) = 2397 -> J=9,H=3,B=7,A=2
  R1175: concat(23,98) = 2398 -> J=9,H=3,B=8,A=2
  R1176: concat(24,01) = 2401 -> J=0,H=4,B=1,A=2
  R1177: concat(24,03) = 2403 -> J=0,H=4,B=3,A=2
  R1178: concat(24,05) = 2405 -> J=0,H=4,B=5,A=2
  R1179: concat(24,06) = 2406 -> J=0,H=4,B=6,A=2
  R1180: concat(24,07) = 2407 -> J=0,H=4,B=7,A=2
  R1181: concat(24,08) = 2408 -> J=0,H=4,B=8,A=2
  R1182: concat(24,09) = 2409 -> J=0,H=4,B=9,A=2
  R1183: concat(24,10) = 2410 -> J=1,H=4,B=0,A=2
  R1184: concat(24,13) = 2413 -> J=1,H=4,B=3,A=2
  R1185: concat(24,15) = 2415 -> J=1,H=4,B=5,A=2
  R1186: concat(24,16) = 2416 -> J=1,H=4,B=6,A=2
  R1187: concat(24,17) = 2417 -> J=1,H=4,B=7,A=2
  R1188: concat(24,18) = 2418 -> J=1,H=4,B=8,A=2
  R1189: concat(24,19) = 2419 -> J=1,H=4,B=9,A=2
  R1190: concat(24,30) = 2430 -> J=3,H=4,B=0,A=2
  R1191: concat(24,31) = 2431 -> J=3,H=4,B=1,A=2
  R1192: concat(24,35) = 2435 -> J=3,H=4,B=5,A=2
  R1193: concat(24,36) = 2436 -> J=3,H=4,B=6,A=2
  R1194: concat(24,37) = 2437 -> J=3,H=4,B=7,A=2
  R1195: concat(24,38) = 2438 -> J=3,H=4,B=8,A=2
  R1196: concat(24,39) = 2439 -> J=3,H=4,B=9,A=2
  R1197: concat(24,50) = 2450 -> J=5,H=4,B=0,A=2
  R1198: concat(24,51) = 2451 -> J=5,H=4,B=1,A=2
  R1199: concat(24,53) = 2453 -> J=5,H=4,B=3,A=2
  R1200: concat(24,56) = 2456 -> J=5,H=4,B=6,A=2
  R1201: concat(24,57) = 2457 -> J=5,H=4,B=7,A=2
  R1202: concat(24,58) = 2458 -> J=5,H=4,B=8,A=2
  R1203: concat(24,59) = 2459 -> J=5,H=4,B=9,A=2
  R1204: concat(24,60) = 2460 -> J=6,H=4,B=0,A=2
  R1205: concat(24,61) = 2461 -> J=6,H=4,B=1,A=2
  R1206: concat(24,63) = 2463 -> J=6,H=4,B=3,A=2
  R1207: concat(24,65) = 2465 -> J=6,H=4,B=5,A=2
  R1208: concat(24,67) = 2467 -> J=6,H=4,B=7,A=2
  R1209: concat(24,68) = 2468 -> J=6,H=4,B=8,A=2
  R1210: concat(24,69) = 2469 -> J=6,H=4,B=9,A=2
  R1211: concat(24,70) = 2470 -> J=7,H=4,B=0,A=2
  R1212: concat(24,71) = 2471 -> J=7,H=4,B=1,A=2
  R1213: concat(24,73) = 2473 -> J=7,H=4,B=3,A=2
  R1214: concat(24,75) = 2475 -> J=7,H=4,B=5,A=2
  R1215: concat(24,76) = 2476 -> J=7,H=4,B=6,A=2
  R1216: concat(24,78) = 2478 -> J=7,H=4,B=8,A=2
  R1217: concat(24,79) = 2479 -> J=7,H=4,B=9,A=2
  R1218: concat(24,80) = 2480 -> J=8,H=4,B=0,A=2
  R1219: concat(24,81) = 2481 -> J=8,H=4,B=1,A=2
  R1220: concat(24,83) = 2483 -> J=8,H=4,B=3,A=2
  R1221: concat(24,85) = 2485 -> J=8,H=4,B=5,A=2
  R1222: concat(24,86) = 2486 -> J=8,H=4,B=6,A=2
  R1223: concat(24,87) = 2487 -> J=8,H=4,B=7,A=2
  R1224: concat(24,89) = 2489 -> J=8,H=4,B=9,A=2
  R1225: concat(24,90) = 2490 -> J=9,H=4,B=0,A=2
  R1226: concat(24,91) = 2491 -> J=9,H=4,B=1,A=2
  R1227: concat(24,93) = 2493 -> J=9,H=4,B=3,A=2
  R1228: concat(24,95) = 2495 -> J=9,H=4,B=5,A=2
  R1229: concat(24,96) = 2496 -> J=9,H=4,B=6,A=2
  R1230: concat(24,97) = 2497 -> J=9,H=4,B=7,A=2
  R1231: concat(24,98) = 2498 -> J=9,H=4,B=8,A=2
  R1232: concat(25,01) = 2501 -> J=0,H=5,B=1,A=2
  R1233: concat(25,03) = 2503 -> J=0,H=5,B=3,A=2
  R1234: concat(25,04) = 2504 -> J=0,H=5,B=4,A=2
  R1235: concat(25,06) = 2506 -> J=0,H=5,B=6,A=2
  R1236: concat(25,07) = 2507 -> J=0,H=5,B=7,A=2
  R1237: concat(25,08) = 2508 -> J=0,H=5,B=8,A=2
  R1238: concat(25,09) = 2509 -> J=0,H=5,B=9,A=2
  R1239: concat(25,10) = 2510 -> J=1,H=5,B=0,A=2
  R1240: concat(25,13) = 2513 -> J=1,H=5,B=3,A=2
  R1241: concat(25,14) = 2514 -> J=1,H=5,B=4,A=2
  R1242: concat(25,16) = 2516 -> J=1,H=5,B=6,A=2
  R1243: concat(25,17) = 2517 -> J=1,H=5,B=7,A=2
  R1244: concat(25,18) = 2518 -> J=1,H=5,B=8,A=2
  R1245: concat(25,19) = 2519 -> J=1,H=5,B=9,A=2
  R1246: concat(25,30) = 2530 -> J=3,H=5,B=0,A=2
  R1247: concat(25,31) = 2531 -> J=3,H=5,B=1,A=2
  R1248: concat(25,34) = 2534 -> J=3,H=5,B=4,A=2
  R1249: concat(25,36) = 2536 -> J=3,H=5,B=6,A=2
  R1250: concat(25,37) = 2537 -> J=3,H=5,B=7,A=2
  R1251: concat(25,38) = 2538 -> J=3,H=5,B=8,A=2
  R1252: concat(25,39) = 2539 -> J=3,H=5,B=9,A=2
  R1253: concat(25,40) = 2540 -> J=4,H=5,B=0,A=2
  R1254: concat(25,41) = 2541 -> J=4,H=5,B=1,A=2
  R1255: concat(25,43) = 2543 -> J=4,H=5,B=3,A=2
  R1256: concat(25,46) = 2546 -> J=4,H=5,B=6,A=2
  R1257: concat(25,47) = 2547 -> J=4,H=5,B=7,A=2
  R1258: concat(25,48) = 2548 -> J=4,H=5,B=8,A=2
  R1259: concat(25,49) = 2549 -> J=4,H=5,B=9,A=2
  R1260: concat(25,60) = 2560 -> J=6,H=5,B=0,A=2
  R1261: concat(25,61) = 2561 -> J=6,H=5,B=1,A=2
  R1262: concat(25,63) = 2563 -> J=6,H=5,B=3,A=2
  R1263: concat(25,64) = 2564 -> J=6,H=5,B=4,A=2
  R1264: concat(25,67) = 2567 -> J=6,H=5,B=7,A=2
  R1265: concat(25,68) = 2568 -> J=6,H=5,B=8,A=2
  R1266: concat(25,69) = 2569 -> J=6,H=5,B=9,A=2
  R1267: concat(25,70) = 2570 -> J=7,H=5,B=0,A=2
  R1268: concat(25,71) = 2571 -> J=7,H=5,B=1,A=2
  R1269: concat(25,73) = 2573 -> J=7,H=5,B=3,A=2
  R1270: concat(25,74) = 2574 -> J=7,H=5,B=4,A=2
  R1271: concat(25,76) = 2576 -> J=7,H=5,B=6,A=2
  R1272: concat(25,78) = 2578 -> J=7,H=5,B=8,A=2
  R1273: concat(25,79) = 2579 -> J=7,H=5,B=9,A=2
  R1274: concat(25,80) = 2580 -> J=8,H=5,B=0,A=2
  R1275: concat(25,81) = 2581 -> J=8,H=5,B=1,A=2
  R1276: concat(25,83) = 2583 -> J=8,H=5,B=3,A=2
  R1277: concat(25,84) = 2584 -> J=8,H=5,B=4,A=2
  R1278: concat(25,86) = 2586 -> J=8,H=5,B=6,A=2
  R1279: concat(25,87) = 2587 -> J=8,H=5,B=7,A=2
  R1280: concat(25,89) = 2589 -> J=8,H=5,B=9,A=2
  R1281: concat(25,90) = 2590 -> J=9,H=5,B=0,A=2
  R1282: concat(25,91) = 2591 -> J=9,H=5,B=1,A=2
  R1283: concat(25,93) = 2593 -> J=9,H=5,B=3,A=2
  R1284: concat(25,94) = 2594 -> J=9,H=5,B=4,A=2
  R1285: concat(25,96) = 2596 -> J=9,H=5,B=6,A=2
  R1286: concat(25,97) = 2597 -> J=9,H=5,B=7,A=2
  R1287: concat(25,98) = 2598 -> J=9,H=5,B=8,A=2
  R1288: concat(26,01) = 2601 -> J=0,H=6,B=1,A=2
  R1289: concat(26,03) = 2603 -> J=0,H=6,B=3,A=2
  R1290: concat(26,04) = 2604 -> J=0,H=6,B=4,A=2
  R1291: concat(26,05) = 2605 -> J=0,H=6,B=5,A=2
  R1292: concat(26,07) = 2607 -> J=0,H=6,B=7,A=2
  R1293: concat(26,08) = 2608 -> J=0,H=6,B=8,A=2
  R1294: concat(26,09) = 2609 -> J=0,H=6,B=9,A=2
  R1295: concat(26,10) = 2610 -> J=1,H=6,B=0,A=2
  R1296: concat(26,13) = 2613 -> J=1,H=6,B=3,A=2
  R1297: concat(26,14) = 2614 -> J=1,H=6,B=4,A=2
  R1298: concat(26,15) = 2615 -> J=1,H=6,B=5,A=2
  R1299: concat(26,17) = 2617 -> J=1,H=6,B=7,A=2
  R1300: concat(26,18) = 2618 -> J=1,H=6,B=8,A=2
  R1301: concat(26,19) = 2619 -> J=1,H=6,B=9,A=2
  R1302: concat(26,30) = 2630 -> J=3,H=6,B=0,A=2
  R1303: concat(26,31) = 2631 -> J=3,H=6,B=1,A=2
  R1304: concat(26,34) = 2634 -> J=3,H=6,B=4,A=2
  R1305: concat(26,35) = 2635 -> J=3,H=6,B=5,A=2
  R1306: concat(26,37) = 2637 -> J=3,H=6,B=7,A=2
  R1307: concat(26,38) = 2638 -> J=3,H=6,B=8,A=2
  R1308: concat(26,39) = 2639 -> J=3,H=6,B=9,A=2
  R1309: concat(26,40) = 2640 -> J=4,H=6,B=0,A=2
  R1310: concat(26,41) = 2641 -> J=4,H=6,B=1,A=2
  R1311: concat(26,43) = 2643 -> J=4,H=6,B=3,A=2
  R1312: concat(26,45) = 2645 -> J=4,H=6,B=5,A=2
  R1313: concat(26,47) = 2647 -> J=4,H=6,B=7,A=2
  R1314: concat(26,48) = 2648 -> J=4,H=6,B=8,A=2
  R1315: concat(26,49) = 2649 -> J=4,H=6,B=9,A=2
  R1316: concat(26,50) = 2650 -> J=5,H=6,B=0,A=2
  R1317: concat(26,51) = 2651 -> J=5,H=6,B=1,A=2
  R1318: concat(26,53) = 2653 -> J=5,H=6,B=3,A=2
  R1319: concat(26,54) = 2654 -> J=5,H=6,B=4,A=2
  R1320: concat(26,57) = 2657 -> J=5,H=6,B=7,A=2
  R1321: concat(26,58) = 2658 -> J=5,H=6,B=8,A=2
  R1322: concat(26,59) = 2659 -> J=5,H=6,B=9,A=2
  R1323: concat(26,70) = 2670 -> J=7,H=6,B=0,A=2
  R1324: concat(26,71) = 2671 -> J=7,H=6,B=1,A=2
  R1325: concat(26,73) = 2673 -> J=7,H=6,B=3,A=2
