We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [""+:|] = ["":|]: AA + BC = AABC  (r.len=4, sym=['A', 'B', 'C'], |sym|=3)
  R392: concat(08,12) = 0812 -> G=8,F=1,D=0,H=2
  R393: concat(08,13) = 0813 -> G=8,F=1,D=0,H=3
  R394: concat(08,14) = 0814 -> G=8,F=1,D=0,H=4
  R395: concat(08,15) = 0815 -> G=8,F=1,D=0,H=5
  R396: concat(08,16) = 0816 -> G=8,F=1,D=0,H=6
  R397: concat(08,17) = 0817 -> G=8,F=1,D=0,H=7
  R398: concat(08,19) = 0819 -> G=8,F=1,D=0,H=9
  R399: concat(08,21) = 0821 -> G=8,F=2,D=0,H=1
  R400: concat(08,23) = 0823 -> G=8,F=2,D=0,H=3
  R401: concat(08,24) = 0824 -> G=8,F=2,D=0,H=4
  R402: concat(08,25) = 0825 -> G=8,F=2,D=0,H=5
  R403: concat(08,26) = 0826 -> G=8,F=2,D=0,H=6
  R404: concat(08,27) = 0827 -> G=8,F=2,D=0,H=7
  R405: concat(08,29) = 0829 -> G=8,F=2,D=0,H=9
  R406: concat(08,31) = 0831 -> G=8,F=3,D=0,H=1
  R407: concat(08,32) = 0832 -> G=8,F=3,D=0,H=2
  R408: concat(08,34) = 0834 -> G=8,F=3,D=0,H=4
  R409: concat(08,35) = 0835 -> G=8,F=3,D=0,H=5
  R410: concat(08,36) = 0836 -> G=8,F=3,D=0,H=6
  R411: concat(08,37) = 0837 -> G=8,F=3,D=0,H=7
  R412: concat(08,39) = 0839 -> G=8,F=3,D=0,H=9
  R413: concat(08,41) = 0841 -> G=8,F=4,D=0,H=1
  R414: concat(08,42) = 0842 -> G=8,F=4,D=0,H=2
  R415: concat(08,43) = 0843 -> G=8,F=4,D=0,H=3
  R416: concat(08,45) = 0845 -> G=8,F=4,D=0,H=5
  R417: concat(08,46) = 0846 -> G=8,F=4,D=0,H=6
  R418: concat(08,47) = 0847 -> G=8,F=4,D=0,H=7
  R419: concat(08,49) = 0849 -> G=8,F=4,D=0,H=9
  R420: concat(08,51) = 0851 -> G=8,F=5,D=0,H=1
  R421: concat(08,52) = 0852 -> G=8,F=5,D=0,H=2
  R422: concat(08,53) = 0853 -> G=8,F=5,D=0,H=3
  R423: concat(08,54) = 0854 -> G=8,F=5,D=0,H=4
  R424: concat(08,56) = 0856 -> G=8,F=5,D=0,H=6
  R425: concat(08,57) = 0857 -> G=8,F=5,D=0,H=7
  R426: concat(08,59) = 0859 -> G=8,F=5,D=0,H=9
  R427: concat(08,61) = 0861 -> G=8,F=6,D=0,H=1
  R428: concat(08,62) = 0862 -> G=8,F=6,D=0,H=2
  R429: concat(08,63) = 0863 -> G=8,F=6,D=0,H=3
  R430: concat(08,64) = 0864 -> G=8,F=6,D=0,H=4
  R431: concat(08,65) = 0865 -> G=8,F=6,D=0,H=5
  R432: concat(08,67) = 0867 -> G=8,F=6,D=0,H=7
  R433: concat(08,69) = 0869 -> G=8,F=6,D=0,H=9
  R434: concat(08,71) = 0871 -> G=8,F=7,D=0,H=1
  R435: concat(08,72) = 0872 -> G=8,F=7,D=0,H=2
  R436: concat(08,73) = 0873 -> G=8,F=7,D=0,H=3
  R437: concat(08,74) = 0874 -> G=8,F=7,D=0,H=4
  R438: concat(08,75) = 0875 -> G=8,F=7,D=0,H=5
  R439: concat(08,76) = 0876 -> G=8,F=7,D=0,H=6
  R440: concat(08,79) = 0879 -> G=8,F=7,D=0,H=9
  R441: concat(08,91) = 0891 -> G=8,F=9,D=0,H=1
  R442: concat(08,92) = 0892 -> G=8,F=9,D=0,H=2
  R443: concat(08,93) = 0893 -> G=8,F=9,D=0,H=3
  R444: concat(08,94) = 0894 -> G=8,F=9,D=0,H=4
  R445: concat(08,95) = 0895 -> G=8,F=9,D=0,H=5
  R446: concat(08,96) = 0896 -> G=8,F=9,D=0,H=6
  R447: concat(08,97) = 0897 -> G=8,F=9,D=0,H=7
  R448: concat(09,12) = 0912 -> G=9,F=1,D=0,H=2
  R449: concat(09,13) = 0913 -> G=9,F=1,D=0,H=3
  R450: concat(09,14) = 0914 -> G=9,F=1,D=0,H=4
  R451: concat(09,15) = 0915 -> G=9,F=1,D=0,H=5
  R452: concat(09,16) = 0916 -> G=9,F=1,D=0,H=6
  R453: concat(09,17) = 0917 -> G=9,F=1,D=0,H=7
  R454: concat(09,18) = 0918 -> G=9,F=1,D=0,H=8
  R455: concat(09,21) = 0921 -> G=9,F=2,D=0,H=1
  R456: concat(09,23) = 0923 -> G=9,F=2,D=0,H=3
  R457: concat(09,24) = 0924 -> G=9,F=2,D=0,H=4
  R458: concat(09,25) = 0925 -> G=9,F=2,D=0,H=5
  R459: concat(09,26) = 0926 -> G=9,F=2,D=0,H=6
  R460: concat(09,27) = 0927 -> G=9,F=2,D=0,H=7
  R461: concat(09,28) = 0928 -> G=9,F=2,D=0,H=8
  R462: concat(09,31) = 0931 -> G=9,F=3,D=0,H=1
  R463: concat(09,32) = 0932 -> G=9,F=3,D=0,H=2
  R464: concat(09,34) = 0934 -> G=9,F=3,D=0,H=4
  R465: concat(09,35) = 0935 -> G=9,F=3,D=0,H=5
  R466: concat(09,36) = 0936 -> G=9,F=3,D=0,H=6
  R467: concat(09,37) = 0937 -> G=9,F=3,D=0,H=7
  R468: concat(09,38) = 0938 -> G=9,F=3,D=0,H=8
  R469: concat(09,41) = 0941 -> G=9,F=4,D=0,H=1
  R470: concat(09,42) = 0942 -> G=9,F=4,D=0,H=2
  R471: concat(09,43) = 0943 -> G=9,F=4,D=0,H=3
  R472: concat(09,45) = 0945 -> G=9,F=4,D=0,H=5
  R473: concat(09,46) = 0946 -> G=9,F=4,D=0,H=6
  R474: concat(09,47) = 0947 -> G=9,F=4,D=0,H=7
  R475: concat(09,48) = 0948 -> G=9,F=4,D=0,H=8
  R476: concat(09,51) = 0951 -> G=9,F=5,D=0,H=1
  R477: concat(09,52) = 0952 -> G=9,F=5,D=0,H=2
  R478: concat(09,53) = 0953 -> G=9,F=5,D=0,H=3
  R479: concat(09,54) = 0954 -> G=9,F=5,D=0,H=4
  R480: concat(09,56) = 0956 -> G=9,F=5,D=0,H=6
  R481: concat(09,57) = 0957 -> G=9,F=5,D=0,H=7
  R482: concat(09,58) = 0958 -> G=9,F=5,D=0,H=8
  R483: concat(09,61) = 0961 -> G=9,F=6,D=0,H=1
  R484: concat(09,62) = 0962 -> G=9,F=6,D=0,H=2
  R485: concat(09,63) = 0963 -> G=9,F=6,D=0,H=3
  R486: concat(09,64) = 0964 -> G=9,F=6,D=0,H=4
  R487: concat(09,65) = 0965 -> G=9,F=6,D=0,H=5
  R488: concat(09,67) = 0967 -> G=9,F=6,D=0,H=7
  R489: concat(09,68) = 0968 -> G=9,F=6,D=0,H=8
  R490: concat(09,71) = 0971 -> G=9,F=7,D=0,H=1
  R491: concat(09,72) = 0972 -> G=9,F=7,D=0,H=2
  R492: concat(09,73) = 0973 -> G=9,F=7,D=0,H=3
  R493: concat(09,74) = 0974 -> G=9,F=7,D=0,H=4
  R494: concat(09,75) = 0975 -> G=9,F=7,D=0,H=5
  R495: concat(09,76) = 0976 -> G=9,F=7,D=0,H=6
  R496: concat(09,78) = 0978 -> G=9,F=7,D=0,H=8
  R497: concat(09,81) = 0981 -> G=9,F=8,D=0,H=1
  R498: concat(09,82) = 0982 -> G=9,F=8,D=0,H=2
  R499: concat(09,83) = 0983 -> G=9,F=8,D=0,H=3
  R500: concat(09,84) = 0984 -> G=9,F=8,D=0,H=4
  R501: concat(09,85) = 0985 -> G=9,F=8,D=0,H=5
  R502: concat(09,86) = 0986 -> G=9,F=8,D=0,H=6
  R503: concat(09,87) = 0987 -> G=9,F=8,D=0,H=7
  R504: concat(10,23) = 1023 -> G=0,F=2,D=1,H=3
  R505: concat(10,24) = 1024 -> G=0,F=2,D=1,H=4
  R506: concat(10,25) = 1025 -> G=0,F=2,D=1,H=5
  R507: concat(10,26) = 1026 -> G=0,F=2,D=1,H=6
  R508: concat(10,27) = 1027 -> G=0,F=2,D=1,H=7
  R509: concat(10,28) = 1028 -> G=0,F=2,D=1,H=8
  R510: concat(10,29) = 1029 -> G=0,F=2,D=1,H=9
  R511: concat(10,32) = 1032 -> G=0,F=3,D=1,H=2
  R512: concat(10,34) = 1034 -> G=0,F=3,D=1,H=4
  R513: concat(10,35) = 1035 -> G=0,F=3,D=1,H=5
  R514: concat(10,36) = 1036 -> G=0,F=3,D=1,H=6
  R515: concat(10,37) = 1037 -> G=0,F=3,D=1,H=7
  R516: concat(10,38) = 1038 -> G=0,F=3,D=1,H=8
  R517: concat(10,39) = 1039 -> G=0,F=3,D=1,H=9
  R518: concat(10,42) = 1042 -> G=0,F=4,D=1,H=2
  R519: concat(10,43) = 1043 -> G=0,F=4,D=1,H=3
  R520: concat(10,45) = 1045 -> G=0,F=4,D=1,H=5
  R521: concat(10,46) = 1046 -> G=0,F=4,D=1,H=6
  R522: concat(10,47) = 1047 -> G=0,F=4,D=1,H=7
  R523: concat(10,48) = 1048 -> G=0,F=4,D=1,H=8
  R524: concat(10,49) = 1049 -> G=0,F=4,D=1,H=9
  R525: concat(10,52) = 1052 -> G=0,F=5,D=1,H=2
  R526: concat(10,53) = 1053 -> G=0,F=5,D=1,H=3
  R527: concat(10,54) = 1054 -> G=0,F=5,D=1,H=4
  R528: concat(10,56) = 1056 -> G=0,F=5,D=1,H=6
  R529: concat(10,57) = 1057 -> G=0,F=5,D=1,H=7
  R530: concat(10,58) = 1058 -> G=0,F=5,D=1,H=8
  R531: concat(10,59) = 1059 -> G=0,F=5,D=1,H=9
  R532: concat(10,62) = 1062 -> G=0,F=6,D=1,H=2
  R533: concat(10,63) = 1063 -> G=0,F=6,D=1,H=3
  R534: concat(10,64) = 1064 -> G=0,F=6,D=1,H=4
  R535: concat(10,65) = 1065 -> G=0,F=6,D=1,H=5
  R536: concat(10,67) = 1067 -> G=0,F=6,D=1,H=7
  R537: concat(10,68) = 1068 -> G=0,F=6,D=1,H=8
  R538: concat(10,69) = 1069 -> G=0,F=6,D=1,H=9
  R539: concat(10,72) = 1072 -> G=0,F=7,D=1,H=2
  R540: concat(10,73) = 1073 -> G=0,F=7,D=1,H=3
  R541: concat(10,74) = 1074 -> G=0,F=7,D=1,H=4
  R542: concat(10,75) = 1075 -> G=0,F=7,D=1,H=5
  R543: concat(10,76) = 1076 -> G=0,F=7,D=1,H=6
  R544: concat(10,78) = 1078 -> G=0,F=7,D=1,H=8
  R545: concat(10,79) = 1079 -> G=0,F=7,D=1,H=9
  R546: concat(10,82) = 1082 -> G=0,F=8,D=1,H=2
  R547: concat(10,83) = 1083 -> G=0,F=8,D=1,H=3
  R548: concat(10,84) = 1084 -> G=0,F=8,D=1,H=4
  R549: concat(10,85) = 1085 -> G=0,F=8,D=1,H=5
  R550: concat(10,86) = 1086 -> G=0,F=8,D=1,H=6
  R551: concat(10,87) = 1087 -> G=0,F=8,D=1,H=7
  R552: concat(10,89) = 1089 -> G=0,F=8,D=1,H=9
  R553: concat(10,92) = 1092 -> G=0,F=9,D=1,H=2
  R554: concat(10,93) = 1093 -> G=0,F=9,D=1,H=3
  R555: concat(10,94) = 1094 -> G=0,F=9,D=1,H=4
  R556: concat(10,95) = 1095 -> G=0,F=9,D=1,H=5
  R557: concat(10,96) = 1096 -> G=0,F=9,D=1,H=6
  R558: concat(10,97) = 1097 -> G=0,F=9,D=1,H=7
  R559: concat(10,98) = 1098 -> G=0,F=9,D=1,H=8
  R560: concat(12,03) = 1203 -> G=2,F=0,D=1,H=3
  R561: concat(12,04) = 1204 -> G=2,F=0,D=1,H=4
  R562: concat(12,05) = 1205 -> G=2,F=0,D=1,H=5
  R563: concat(12,06) = 1206 -> G=2,F=0,D=1,H=6
  R564: concat(12,07) = 1207 -> G=2,F=0,D=1,H=7
  R565: concat(12,08) = 1208 -> G=2,F=0,D=1,H=8
  R566: concat(12,09) = 1209 -> G=2,F=0,D=1,H=9
  R567: concat(12,30) = 1230 -> G=2,F=3,D=1,H=0
  R568: concat(12,34) = 1234 -> G=2,F=3,D=1,H=4
  R569: concat(12,35) = 1235 -> G=2,F=3,D=1,H=5
  R570: concat(12,36) = 1236 -> G=2,F=3,D=1,H=6
  R571: concat(12,37) = 1237 -> G=2,F=3,D=1,H=7
  R572: concat(12,38) = 1238 -> G=2,F=3,D=1,H=8
  R573: concat(12,39) = 1239 -> G=2,F=3,D=1,H=9
  R574: concat(12,40) = 1240 -> G=2,F=4,D=1,H=0
  R575: concat(12,43) = 1243 -> G=2,F=4,D=1,H=3
  R576: concat(12,45) = 1245 -> G=2,F=4,D=1,H=5
  R577: concat(12,46) = 1246 -> G=2,F=4,D=1,H=6
  R578: concat(12,47) = 1247 -> G=2,F=4,D=1,H=7
  R579: concat(12,48) = 1248 -> G=2,F=4,D=1,H=8
  R580: concat(12,49) = 1249 -> G=2,F=4,D=1,H=9
  R581: concat(12,50) = 1250 -> G=2,F=5,D=1,H=0
  R582: concat(12,53) = 1253 -> G=2,F=5,D=1,H=3
  R583: concat(12,54) = 1254 -> G=2,F=5,D=1,H=4
  R584: concat(12,56) = 1256 -> G=2,F=5,D=1,H=6
  R585: concat(12,57) = 1257 -> G=2,F=5,D=1,H=7
  R586: concat(12,58) = 1258 -> G=2,F=5,D=1,H=8
  R587: concat(12,59) = 1259 -> G=2,F=5,D=1,H=9
  R588: concat(12,60) = 1260 -> G=2,F=6,D=1,H=0
  R589: concat(12,63) = 1263 -> G=2,F=6,D=1,H=3
  R590: concat(12,64) = 1264 -> G=2,F=6,D=1,H=4
  R591: concat(12,65) = 1265 -> G=2,F=6,D=1,H=5
  R592: concat(12,67) = 1267 -> G=2,F=6,D=1,H=7
  R593: concat(12,68) = 1268 -> G=2,F=6,D=1,H=8
  R594: concat(12,69) = 1269 -> G=2,F=6,D=1,H=9
  R595: concat(12,70) = 1270 -> G=2,F=7,D=1,H=0
  R596: concat(12,73) = 1273 -> G=2,F=7,D=1,H=3
  R597: concat(12,74) = 1274 -> G=2,F=7,D=1,H=4
  R598: concat(12,75) = 1275 -> G=2,F=7,D=1,H=5
  R599: concat(12,76) = 1276 -> G=2,F=7,D=1,H=6
  R600: concat(12,78) = 1278 -> G=2,F=7,D=1,H=8
  R601: concat(12,79) = 1279 -> G=2,F=7,D=1,H=9
  R602: concat(12,80) = 1280 -> G=2,F=8,D=1,H=0
  R603: concat(12,83) = 1283 -> G=2,F=8,D=1,H=3
  R604: concat(12,84) = 1284 -> G=2,F=8,D=1,H=4
  R605: concat(12,85) = 1285 -> G=2,F=8,D=1,H=5
  R606: concat(12,86) = 1286 -> G=2,F=8,D=1,H=6
  R607: concat(12,87) = 1287 -> G=2,F=8,D=1,H=7
  R608: concat(12,89) = 1289 -> G=2,F=8,D=1,H=9
  R609: concat(12,90) = 1290 -> G=2,F=9,D=1,H=0
  R610: concat(12,93) = 1293 -> G=2,F=9,D=1,H=3
  R611: concat(12,94) = 1294 -> G=2,F=9,D=1,H=4
  R612: concat(12,95) = 1295 -> G=2,F=9,D=1,H=5
  R613: concat(12,96) = 1296 -> G=2,F=9,D=1,H=6
  R614: concat(12,97) = 1297 -> G=2,F=9,D=1,H=7
  R615: concat(12,98) = 1298 -> G=2,F=9,D=1,H=8
  R616: concat(13,02) = 1302 -> G=3,F=0,D=1,H=2
  R617: concat(13,04) = 1304 -> G=3,F=0,D=1,H=4
  R618: concat(13,05) = 1305 -> G=3,F=0,D=1,H=5
  R619: concat(13,06) = 1306 -> G=3,F=0,D=1,H=6
  R620: concat(13,07) = 1307 -> G=3,F=0,D=1,H=7
  R621: concat(13,08) = 1308 -> G=3,F=0,D=1,H=8
  R622: concat(13,09) = 1309 -> G=3,F=0,D=1,H=9
  R623: concat(13,20) = 1320 -> G=3,F=2,D=1,H=0
  R624: concat(13,24) = 1324 -> G=3,F=2,D=1,H=4
  R625: concat(13,25) = 1325 -> G=3,F=2,D=1,H=5
  R626: concat(13,26) = 1326 -> G=3,F=2,D=1,H=6
  R627: concat(13,27) = 1327 -> G=3,F=2,D=1,H=7
  R628: concat(13,28) = 1328 -> G=3,F=2,D=1,H=8
  R629: concat(13,29) = 1329 -> G=3,F=2,D=1,H=9
  R630: concat(13,40) = 1340 -> G=3,F=4,D=1,H=0
  R631: concat(13,42) = 1342 -> G=3,F=4,D=1,H=2
  R632: concat(13,45) = 1345 -> G=3,F=4,D=1,H=5
  R633: concat(13,46) = 1346 -> G=3,F=4,D=1,H=6
  R634: concat(13,47) = 1347 -> G=3,F=4,D=1,H=7
  R635: concat(13,48) = 1348 -> G=3,F=4,D=1,H=8
  R636: concat(13,49) = 1349 -> G=3,F=4,D=1,H=9
  R637: concat(13,50) = 1350 -> G=3,F=5,D=1,H=0
  R638: concat(13,52) = 1352 -> G=3,F=5,D=1,H=2
  R639: concat(13,54) = 1354 -> G=3,F=5,D=1,H=4
  R640: concat(13,56) = 1356 -> G=3,F=5,D=1,H=6
  R641: concat(13,57) = 1357 -> G=3,F=5,D=1,H=7
  R642: concat(13,58) = 1358 -> G=3,F=5,D=1,H=8
  R643: concat(13,59) = 1359 -> G=3,F=5,D=1,H=9
  R644: concat(13,60) = 1360 -> G=3,F=6,D=1,H=0
  R645: concat(13,62) = 1362 -> G=3,F=6,D=1,H=2
  R646: concat(13,64) = 1364 -> G=3,F=6,D=1,H=4
  R647: concat(13,65) = 1365 -> G=3,F=6,D=1,H=5
  R648: concat(13,67) = 1367 -> G=3,F=6,D=1,H=7
  R649: concat(13,68) = 1368 -> G=3,F=6,D=1,H=8
  R650: concat(13,69) = 1369 -> G=3,F=6,D=1,H=9
  R651: concat(13,70) = 1370 -> G=3,F=7,D=1,H=0
  R652: concat(13,72) = 1372 -> G=3,F=7,D=1,H=2
  R653: concat(13,74) = 1374 -> G=3,F=7,D=1,H=4
  R654: concat(13,75) = 1375 -> G=3,F=7,D=1,H=5
  R655: concat(13,76) = 1376 -> G=3,F=7,D=1,H=6
  R656: concat(13,78) = 1378 -> G=3,F=7,D=1,H=8
  R657: concat(13,79) = 1379 -> G=3,F=7,D=1,H=9
  R658: concat(13,80) = 1380 -> G=3,F=8,D=1,H=0
  R659: concat(13,82) = 1382 -> G=3,F=8,D=1,H=2
  R660: concat(13,84) = 1384 -> G=3,F=8,D=1,H=4
  R661: concat(13,85) = 1385 -> G=3,F=8,D=1,H=5
  R662: concat(13,86) = 1386 -> G=3,F=8,D=1,H=6
  R663: concat(13,87) = 1387 -> G=3,F=8,D=1,H=7
  R664: concat(13,89) = 1389 -> G=3,F=8,D=1,H=9
  R665: concat(13,90) = 1390 -> G=3,F=9,D=1,H=0
  R666: concat(13,92) = 1392 -> G=3,F=9,D=1,H=2
  R667: concat(13,94) = 1394 -> G=3,F=9,D=1,H=4
  R668: concat(13,95) = 1395 -> G=3,F=9,D=1,H=5
  R669: concat(13,96) = 1396 -> G=3,F=9,D=1,H=6
  R670: concat(13,97) = 1397 -> G=3,F=9,D=1,H=7
  R671: concat(13,98) = 1398 -> G=3,F=9,D=1,H=8
  R672: concat(14,02) = 1402 -> G=4,F=0,D=1,H=2
  R673: concat(14,03) = 1403 -> G=4,F=0,D=1,H=3
  R674: concat(14,05) = 1405 -> G=4,F=0,D=1,H=5
  R675: concat(14,06) = 1406 -> G=4,F=0,D=1,H=6
  R676: concat(14,07) = 1407 -> G=4,F=0,D=1,H=7
  R677: concat(14,08) = 1408 -> G=4,F=0,D=1,H=8
  R678: concat(14,09) = 1409 -> G=4,F=0,D=1,H=9
  R679: concat(14,20) = 1420 -> G=4,F=2,D=1,H=0
  R680: concat(14,23) = 1423 -> G=4,F=2,D=1,H=3
  R681: concat(14,25) = 1425 -> G=4,F=2,D=1,H=5
  R682: concat(14,26) = 1426 -> G=4,F=2,D=1,H=6
  R683: concat(14,27) = 1427 -> G=4,F=2,D=1,H=7
  R684: concat(14,28) = 1428 -> G=4,F=2,D=1,H=8
  R685: concat(14,29) = 1429 -> G=4,F=2,D=1,H=9
  R686: concat(14,30) = 1430 -> G=4,F=3,D=1,H=0
  R687: concat(14,32) = 1432 -> G=4,F=3,D=1,H=2
  R688: concat(14,35) = 1435 -> G=4,F=3,D=1,H=5
  R689: concat(14,36) = 1436 -> G=4,F=3,D=1,H=6
  R690: concat(14,37) = 1437 -> G=4,F=3,D=1,H=7
  R691: concat(14,38) = 1438 -> G=4,F=3,D=1,H=8
  R692: concat(14,39) = 1439 -> G=4,F=3,D=1,H=9
  R693: concat(14,50) = 1450 -> G=4,F=5,D=1,H=0
  R694: concat(14,52) = 1452 -> G=4,F=5,D=1,H=2
  R695: concat(14,53) = 1453 -> G=4,F=5,D=1,H=3
  R696: concat(14,56) = 1456 -> G=4,F=5,D=1,H=6
  R697: concat(14,57) = 1457 -> G=4,F=5,D=1,H=7
  R698: concat(14,58) = 1458 -> G=4,F=5,D=1,H=8
  R699: concat(14,59) = 1459 -> G=4,F=5,D=1,H=9
  R700: concat(14,60) = 1460 -> G=4,F=6,D=1,H=0
  R701: concat(14,62) = 1462 -> G=4,F=6,D=1,H=2
  R702: concat(14,63) = 1463 -> G=4,F=6,D=1,H=3
  R703: concat(14,65) = 1465 -> G=4,F=6,D=1,H=5
  R704: concat(14,67) = 1467 -> G=4,F=6,D=1,H=7
  R705: concat(14,68) = 1468 -> G=4,F=6,D=1,H=8
  R706: concat(14,69) = 1469 -> G=4,F=6,D=1,H=9
  R707: concat(14,70) = 1470 -> G=4,F=7,D=1,H=0
  R708: concat(14,72) = 1472 -> G=4,F=7,D=1,H=2
  R709: concat(14,73) = 1473 -> G=4,F=7,D=1,H=3
  R710: concat(14,75) = 1475 -> G=4,F=7,D=1,H=5
  R711: concat(14,76) = 1476 -> G=4,F=7,D=1,H=6
  R712: concat(14,78) = 1478 -> G=4,F=7,D=1,H=8
  R713: concat(14,79) = 1479 -> G=4,F=7,D=1,H=9
  R714: concat(14,80) = 1480 -> G=4,F=8,D=1,H=0
  R715: concat(14,82) = 1482 -> G=4,F=8,D=1,H=2
  R716: concat(14,83) = 1483 -> G=4,F=8,D=1,H=3
  R717: concat(14,85) = 1485 -> G=4,F=8,D=1,H=5
  R718: concat(14,86) = 1486 -> G=4,F=8,D=1,H=6
  R719: concat(14,87) = 1487 -> G=4,F=8,D=1,H=7
  R720: concat(14,89) = 1489 -> G=4,F=8,D=1,H=9
  R721: concat(14,90) = 1490 -> G=4,F=9,D=1,H=0
  R722: concat(14,92) = 1492 -> G=4,F=9,D=1,H=2
  R723: concat(14,93) = 1493 -> G=4,F=9,D=1,H=3
  R724: concat(14,95) = 1495 -> G=4,F=9,D=1,H=5
  R725: concat(14,96) = 1496 -> G=4,F=9,D=1,H=6
  R726: concat(14,97) = 1497 -> G=4,F=9,D=1,H=7
  R727: concat(14,98) = 1498 -> G=4,F=9,D=1,H=8
  R728: concat(15,02) = 1502 -> G=5,F=0,D=1,H=2
  R729: concat(15,03) = 1503 -> G=5,F=0,D=1,H=3
  R730: concat(15,04) = 1504 -> G=5,F=0,D=1,H=4
  R731: concat(15,06) = 1506 -> G=5,F=0,D=1,H=6
  R732: concat(15,07) = 1507 -> G=5,F=0,D=1,H=7
  R733: concat(15,08) = 1508 -> G=5,F=0,D=1,H=8
  R734: concat(15,09) = 1509 -> G=5,F=0,D=1,H=9
  R735: concat(15,20) = 1520 -> G=5,F=2,D=1,H=0
  R736: concat(15,23) = 1523 -> G=5,F=2,D=1,H=3
  R737: concat(15,24) = 1524 -> G=5,F=2,D=1,H=4
  R738: concat(15,26) = 1526 -> G=5,F=2,D=1,H=6
  R739: concat(15,27) = 1527 -> G=5,F=2,D=1,H=7
  R740: concat(15,28) = 1528 -> G=5,F=2,D=1,H=8
  R741: concat(15,29) = 1529 -> G=5,F=2,D=1,H=9
  R742: concat(15,30) = 1530 -> G=5,F=3,D=1,H=0
  R743: concat(15,32) = 1532 -> G=5,F=3,D=1,H=2
  R744: concat(15,34) = 1534 -> G=5,F=3,D=1,H=4
  R745: concat(15,36) = 1536 -> G=5,F=3,D=1,H=6
  R746: concat(15,37) = 1537 -> G=5,F=3,D=1,H=7
  R747: concat(15,38) = 1538 -> G=5,F=3,D=1,H=8
  R748: concat(15,39) = 1539 -> G=5,F=3,D=1,H=9
  R749: concat(15,40) = 1540 -> G=5,F=4,D=1,H=0
  R750: concat(15,42) = 1542 -> G=5,F=4,D=1,H=2
  R751: concat(15,43) = 1543 -> G=5,F=4,D=1,H=3
  R752: concat(15,46) = 1546 -> G=5,F=4,D=1,H=6
  R753: concat(15,47) = 1547 -> G=5,F=4,D=1,H=7
  R754: concat(15,48) = 1548 -> G=5,F=4,D=1,H=8
  R755: concat(15,49) = 1549 -> G=5,F=4,D=1,H=9
  R756: concat(15,60) = 1560 -> G=5,F=6,D=1,H=0
  R757: concat(15,62) = 1562 -> G=5,F=6,D=1,H=2
  R758: concat(15,63) = 1563 -> G=5,F=6,D=1,H=3
  R759: concat(15,64) = 1564 -> G=5,F=6,D=1,H=4
  R760: concat(15,67) = 1567 -> G=5,F=6,D=1,H=7
  R761: concat(15,68) = 1568 -> G=5,F=6,D=1,H=8
  R762: concat(15,69) = 1569 -> G=5,F=6,D=1,H=9
  R763: concat(15,70) = 1570 -> G=5,F=7,D=1,H=0
  R764: concat(15,72) = 1572 -> G=5,F=7,D=1,H=2
  R765: concat(15,73) = 1573 -> G=5,F=7,D=1,H=3
  R766: concat(15,74) = 1574 -> G=5,F=7,D=1,H=4
  R767: concat(15,76) = 1576 -> G=5,F=7,D=1,H=6
  R768: concat(15,78) = 1578 -> G=5,F=7,D=1,H=8
  R769: concat(15,79) = 1579 -> G=5,F=7,D=1,H=9
  R770: concat(15,80) = 1580 -> G=5,F=8,D=1,H=0
  R771: concat(15,82) = 1582 -> G=5,F=8,D=1,H=2
  R772: concat(15,83) = 1583 -> G=5,F=8,D=1,H=3
  R773: concat(15,84) = 1584 -> G=5,F=8,D=1,H=4
  R774: concat(15,86) = 1586 -> G=5,F=8,D=1,H=6
  R775: concat(15,87) = 1587 -> G=5,F=8,D=1,H=7
  R776: concat(15,89) = 1589 -> G=5,F=8,D=1,H=9
  R777: concat(15,90) = 1590 -> G=5,F=9,D=1,H=0
  R778: concat(15,92) = 1592 -> G=5,F=9,D=1,H=2
  R779: concat(15,93) = 1593 -> G=5,F=9,D=1,H=3
  R780: concat(15,94) = 1594 -> G=5,F=9,D=1,H=4
  R781: concat(15,96) = 1596 -> G=5,F=9,D=1,H=6
  R782: concat(15,97) = 1597 -> G=5,F=9,D=1,H=7
  R783: concat(15,98) = 1598 -> G=5,F=9,D=1,H=8
  R784: concat(16,02) = 1602 -> G=6,F=0,D=1,H=2
  R785: concat(16,03) = 1603 -> G=6,F=0,D=1,H=3
  R786: concat(16,04) = 1604 -> G=6,F=0,D=1,H=4
  R787: concat(16,05) = 1605 -> G=6,F=0,D=1,H=5
  R788: concat(16,07) = 1607 -> G=6,F=0,D=1,H=7
  R789: concat(16,08) = 1608 -> G=6,F=0,D=1,H=8
  R790: concat(16,09) = 1609 -> G=6,F=0,D=1,H=9
  R791: concat(16,20) = 1620 -> G=6,F=2,D=1,H=0
  R792: concat(16,23) = 1623 -> G=6,F=2,D=1,H=3
  R793: concat(16,24) = 1624 -> G=6,F=2,D=1,H=4
  R794: concat(16,25) = 1625 -> G=6,F=2,D=1,H=5
  R795: concat(16,27) = 1627 -> G=6,F=2,D=1,H=7
  R796: concat(16,28) = 1628 -> G=6,F=2,D=1,H=8
  R797: concat(16,29) = 1629 -> G=6,F=2,D=1,H=9
  R798: concat(16,30) = 1630 -> G=6,F=3,D=1,H=0
  R799: concat(16,32) = 1632 -> G=6,F=3,D=1,H=2
