We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 []}*\(] = [\(]}]: AB * CD = CDAB  (r.len=4, sym=['A', 'B', 'C', 'D'], |sym|=4)
fact1 [']+''] = [}&]: EA + EE = BF  (r.len=2, sym=['A', 'B', 'E', 'F'], |sym|=4)
fact2 [[\*]]] = []][\]: GC * AA = AAGC  (r.len=4, sym=['A', 'C', 'G'], |sym|=3)
  R388: concat(94,07) = 9407 -> D=4,C=9,A=0,B=7
  R389: concat(95,07) = 9507 -> D=5,C=9,A=0,B=7
  R390: concat(96,07) = 9607 -> D=6,C=9,A=0,B=7
  R391: concat(98,07) = 9807 -> D=8,C=9,A=0,B=7
  R392: concat(12,08) = 1208 -> D=2,C=1,A=0,B=8
  R393: concat(13,08) = 1308 -> D=3,C=1,A=0,B=8
  R394: concat(14,08) = 1408 -> D=4,C=1,A=0,B=8
  R395: concat(15,08) = 1508 -> D=5,C=1,A=0,B=8
  R396: concat(16,08) = 1608 -> D=6,C=1,A=0,B=8
  R397: concat(17,08) = 1708 -> D=7,C=1,A=0,B=8
  R398: concat(19,08) = 1908 -> D=9,C=1,A=0,B=8
  R399: concat(21,08) = 2108 -> D=1,C=2,A=0,B=8
  R400: concat(23,08) = 2308 -> D=3,C=2,A=0,B=8
  R401: concat(24,08) = 2408 -> D=4,C=2,A=0,B=8
  R402: concat(25,08) = 2508 -> D=5,C=2,A=0,B=8
  R403: concat(26,08) = 2608 -> D=6,C=2,A=0,B=8
  R404: concat(27,08) = 2708 -> D=7,C=2,A=0,B=8
  R405: concat(29,08) = 2908 -> D=9,C=2,A=0,B=8
  R406: concat(31,08) = 3108 -> D=1,C=3,A=0,B=8
  R407: concat(32,08) = 3208 -> D=2,C=3,A=0,B=8
  R408: concat(34,08) = 3408 -> D=4,C=3,A=0,B=8
  R409: concat(35,08) = 3508 -> D=5,C=3,A=0,B=8
  R410: concat(36,08) = 3608 -> D=6,C=3,A=0,B=8
  R411: concat(37,08) = 3708 -> D=7,C=3,A=0,B=8
  R412: concat(39,08) = 3908 -> D=9,C=3,A=0,B=8
  R413: concat(41,08) = 4108 -> D=1,C=4,A=0,B=8
  R414: concat(42,08) = 4208 -> D=2,C=4,A=0,B=8
  R415: concat(43,08) = 4308 -> D=3,C=4,A=0,B=8
  R416: concat(45,08) = 4508 -> D=5,C=4,A=0,B=8
  R417: concat(46,08) = 4608 -> D=6,C=4,A=0,B=8
  R418: concat(47,08) = 4708 -> D=7,C=4,A=0,B=8
  R419: concat(49,08) = 4908 -> D=9,C=4,A=0,B=8
  R420: concat(51,08) = 5108 -> D=1,C=5,A=0,B=8
  R421: concat(52,08) = 5208 -> D=2,C=5,A=0,B=8
  R422: concat(53,08) = 5308 -> D=3,C=5,A=0,B=8
  R423: concat(54,08) = 5408 -> D=4,C=5,A=0,B=8
  R424: concat(56,08) = 5608 -> D=6,C=5,A=0,B=8
  R425: concat(57,08) = 5708 -> D=7,C=5,A=0,B=8
  R426: concat(59,08) = 5908 -> D=9,C=5,A=0,B=8
  R427: concat(61,08) = 6108 -> D=1,C=6,A=0,B=8
  R428: concat(62,08) = 6208 -> D=2,C=6,A=0,B=8
  R429: concat(63,08) = 6308 -> D=3,C=6,A=0,B=8
  R430: concat(64,08) = 6408 -> D=4,C=6,A=0,B=8
  R431: concat(65,08) = 6508 -> D=5,C=6,A=0,B=8
  R432: concat(67,08) = 6708 -> D=7,C=6,A=0,B=8
  R433: concat(69,08) = 6908 -> D=9,C=6,A=0,B=8
  R434: concat(71,08) = 7108 -> D=1,C=7,A=0,B=8
  R435: concat(72,08) = 7208 -> D=2,C=7,A=0,B=8
  R436: concat(73,08) = 7308 -> D=3,C=7,A=0,B=8
  R437: concat(74,08) = 7408 -> D=4,C=7,A=0,B=8
  R438: concat(75,08) = 7508 -> D=5,C=7,A=0,B=8
  R439: concat(76,08) = 7608 -> D=6,C=7,A=0,B=8
  R440: concat(79,08) = 7908 -> D=9,C=7,A=0,B=8
  R441: concat(91,08) = 9108 -> D=1,C=9,A=0,B=8
  R442: concat(92,08) = 9208 -> D=2,C=9,A=0,B=8
  R443: concat(93,08) = 9308 -> D=3,C=9,A=0,B=8
  R444: concat(94,08) = 9408 -> D=4,C=9,A=0,B=8
  R445: concat(95,08) = 9508 -> D=5,C=9,A=0,B=8
  R446: concat(96,08) = 9608 -> D=6,C=9,A=0,B=8
  R447: concat(97,08) = 9708 -> D=7,C=9,A=0,B=8
  R448: concat(12,09) = 1209 -> D=2,C=1,A=0,B=9
  R449: concat(13,09) = 1309 -> D=3,C=1,A=0,B=9
  R450: concat(14,09) = 1409 -> D=4,C=1,A=0,B=9
  R451: concat(15,09) = 1509 -> D=5,C=1,A=0,B=9
  R452: concat(16,09) = 1609 -> D=6,C=1,A=0,B=9
  R453: concat(17,09) = 1709 -> D=7,C=1,A=0,B=9
  R454: concat(18,09) = 1809 -> D=8,C=1,A=0,B=9
  R455: concat(21,09) = 2109 -> D=1,C=2,A=0,B=9
  R456: concat(23,09) = 2309 -> D=3,C=2,A=0,B=9
  R457: concat(24,09) = 2409 -> D=4,C=2,A=0,B=9
  R458: concat(25,09) = 2509 -> D=5,C=2,A=0,B=9
  R459: concat(26,09) = 2609 -> D=6,C=2,A=0,B=9
  R460: concat(27,09) = 2709 -> D=7,C=2,A=0,B=9
  R461: concat(28,09) = 2809 -> D=8,C=2,A=0,B=9
  R462: concat(31,09) = 3109 -> D=1,C=3,A=0,B=9
  R463: concat(32,09) = 3209 -> D=2,C=3,A=0,B=9
  R464: concat(34,09) = 3409 -> D=4,C=3,A=0,B=9
  R465: concat(35,09) = 3509 -> D=5,C=3,A=0,B=9
  R466: concat(36,09) = 3609 -> D=6,C=3,A=0,B=9
  R467: concat(37,09) = 3709 -> D=7,C=3,A=0,B=9
  R468: concat(38,09) = 3809 -> D=8,C=3,A=0,B=9
  R469: concat(41,09) = 4109 -> D=1,C=4,A=0,B=9
  R470: concat(42,09) = 4209 -> D=2,C=4,A=0,B=9
  R471: concat(43,09) = 4309 -> D=3,C=4,A=0,B=9
  R472: concat(45,09) = 4509 -> D=5,C=4,A=0,B=9
  R473: concat(46,09) = 4609 -> D=6,C=4,A=0,B=9
  R474: concat(47,09) = 4709 -> D=7,C=4,A=0,B=9
  R475: concat(48,09) = 4809 -> D=8,C=4,A=0,B=9
  R476: concat(51,09) = 5109 -> D=1,C=5,A=0,B=9
  R477: concat(52,09) = 5209 -> D=2,C=5,A=0,B=9
  R478: concat(53,09) = 5309 -> D=3,C=5,A=0,B=9
  R479: concat(54,09) = 5409 -> D=4,C=5,A=0,B=9
  R480: concat(56,09) = 5609 -> D=6,C=5,A=0,B=9
  R481: concat(57,09) = 5709 -> D=7,C=5,A=0,B=9
  R482: concat(58,09) = 5809 -> D=8,C=5,A=0,B=9
  R483: concat(61,09) = 6109 -> D=1,C=6,A=0,B=9
  R484: concat(62,09) = 6209 -> D=2,C=6,A=0,B=9
  R485: concat(63,09) = 6309 -> D=3,C=6,A=0,B=9
  R486: concat(64,09) = 6409 -> D=4,C=6,A=0,B=9
  R487: concat(65,09) = 6509 -> D=5,C=6,A=0,B=9
  R488: concat(67,09) = 6709 -> D=7,C=6,A=0,B=9
  R489: concat(68,09) = 6809 -> D=8,C=6,A=0,B=9
  R490: concat(71,09) = 7109 -> D=1,C=7,A=0,B=9
  R491: concat(72,09) = 7209 -> D=2,C=7,A=0,B=9
  R492: concat(73,09) = 7309 -> D=3,C=7,A=0,B=9
  R493: concat(74,09) = 7409 -> D=4,C=7,A=0,B=9
  R494: concat(75,09) = 7509 -> D=5,C=7,A=0,B=9
  R495: concat(76,09) = 7609 -> D=6,C=7,A=0,B=9
  R496: concat(78,09) = 7809 -> D=8,C=7,A=0,B=9
  R497: concat(81,09) = 8109 -> D=1,C=8,A=0,B=9
  R498: concat(82,09) = 8209 -> D=2,C=8,A=0,B=9
  R499: concat(83,09) = 8309 -> D=3,C=8,A=0,B=9
  R500: concat(84,09) = 8409 -> D=4,C=8,A=0,B=9
  R501: concat(85,09) = 8509 -> D=5,C=8,A=0,B=9
  R502: concat(86,09) = 8609 -> D=6,C=8,A=0,B=9
  R503: concat(87,09) = 8709 -> D=7,C=8,A=0,B=9
  R504: concat(23,10) = 2310 -> D=3,C=2,A=1,B=0
  R505: concat(24,10) = 2410 -> D=4,C=2,A=1,B=0
  R506: concat(25,10) = 2510 -> D=5,C=2,A=1,B=0
  R507: concat(26,10) = 2610 -> D=6,C=2,A=1,B=0
  R508: concat(27,10) = 2710 -> D=7,C=2,A=1,B=0
  R509: concat(28,10) = 2810 -> D=8,C=2,A=1,B=0
  R510: concat(29,10) = 2910 -> D=9,C=2,A=1,B=0
  R511: concat(32,10) = 3210 -> D=2,C=3,A=1,B=0
  R512: concat(34,10) = 3410 -> D=4,C=3,A=1,B=0
  R513: concat(35,10) = 3510 -> D=5,C=3,A=1,B=0
  R514: concat(36,10) = 3610 -> D=6,C=3,A=1,B=0
  R515: concat(37,10) = 3710 -> D=7,C=3,A=1,B=0
  R516: concat(38,10) = 3810 -> D=8,C=3,A=1,B=0
  R517: concat(39,10) = 3910 -> D=9,C=3,A=1,B=0
  R518: concat(42,10) = 4210 -> D=2,C=4,A=1,B=0
  R519: concat(43,10) = 4310 -> D=3,C=4,A=1,B=0
  R520: concat(45,10) = 4510 -> D=5,C=4,A=1,B=0
  R521: concat(46,10) = 4610 -> D=6,C=4,A=1,B=0
  R522: concat(47,10) = 4710 -> D=7,C=4,A=1,B=0
  R523: concat(48,10) = 4810 -> D=8,C=4,A=1,B=0
  R524: concat(49,10) = 4910 -> D=9,C=4,A=1,B=0
  R525: concat(52,10) = 5210 -> D=2,C=5,A=1,B=0
  R526: concat(53,10) = 5310 -> D=3,C=5,A=1,B=0
  R527: concat(54,10) = 5410 -> D=4,C=5,A=1,B=0
  R528: concat(56,10) = 5610 -> D=6,C=5,A=1,B=0
  R529: concat(57,10) = 5710 -> D=7,C=5,A=1,B=0
  R530: concat(58,10) = 5810 -> D=8,C=5,A=1,B=0
  R531: concat(59,10) = 5910 -> D=9,C=5,A=1,B=0
  R532: concat(62,10) = 6210 -> D=2,C=6,A=1,B=0
  R533: concat(63,10) = 6310 -> D=3,C=6,A=1,B=0
  R534: concat(64,10) = 6410 -> D=4,C=6,A=1,B=0
  R535: concat(65,10) = 6510 -> D=5,C=6,A=1,B=0
  R536: concat(67,10) = 6710 -> D=7,C=6,A=1,B=0
  R537: concat(68,10) = 6810 -> D=8,C=6,A=1,B=0
  R538: concat(69,10) = 6910 -> D=9,C=6,A=1,B=0
  R539: concat(72,10) = 7210 -> D=2,C=7,A=1,B=0
  R540: concat(73,10) = 7310 -> D=3,C=7,A=1,B=0
  R541: concat(74,10) = 7410 -> D=4,C=7,A=1,B=0
  R542: concat(75,10) = 7510 -> D=5,C=7,A=1,B=0
  R543: concat(76,10) = 7610 -> D=6,C=7,A=1,B=0
  R544: concat(78,10) = 7810 -> D=8,C=7,A=1,B=0
  R545: concat(79,10) = 7910 -> D=9,C=7,A=1,B=0
  R546: concat(82,10) = 8210 -> D=2,C=8,A=1,B=0
  R547: concat(83,10) = 8310 -> D=3,C=8,A=1,B=0
  R548: concat(84,10) = 8410 -> D=4,C=8,A=1,B=0
  R549: concat(85,10) = 8510 -> D=5,C=8,A=1,B=0
  R550: concat(86,10) = 8610 -> D=6,C=8,A=1,B=0
  R551: concat(87,10) = 8710 -> D=7,C=8,A=1,B=0
  R552: concat(89,10) = 8910 -> D=9,C=8,A=1,B=0
  R553: concat(92,10) = 9210 -> D=2,C=9,A=1,B=0
  R554: concat(93,10) = 9310 -> D=3,C=9,A=1,B=0
  R555: concat(94,10) = 9410 -> D=4,C=9,A=1,B=0
  R556: concat(95,10) = 9510 -> D=5,C=9,A=1,B=0
  R557: concat(96,10) = 9610 -> D=6,C=9,A=1,B=0
  R558: concat(97,10) = 9710 -> D=7,C=9,A=1,B=0
  R559: concat(98,10) = 9810 -> D=8,C=9,A=1,B=0
  R560: concat(03,12) = 0312 -> D=3,C=0,A=1,B=2
  R561: concat(04,12) = 0412 -> D=4,C=0,A=1,B=2
  R562: concat(05,12) = 0512 -> D=5,C=0,A=1,B=2
  R563: concat(06,12) = 0612 -> D=6,C=0,A=1,B=2
  R564: concat(07,12) = 0712 -> D=7,C=0,A=1,B=2
  R565: concat(08,12) = 0812 -> D=8,C=0,A=1,B=2
  R566: concat(09,12) = 0912 -> D=9,C=0,A=1,B=2
  R567: concat(30,12) = 3012 -> D=0,C=3,A=1,B=2
  R568: concat(34,12) = 3412 -> D=4,C=3,A=1,B=2
  R569: concat(35,12) = 3512 -> D=5,C=3,A=1,B=2
  R570: concat(36,12) = 3612 -> D=6,C=3,A=1,B=2
  R571: concat(37,12) = 3712 -> D=7,C=3,A=1,B=2
  R572: concat(38,12) = 3812 -> D=8,C=3,A=1,B=2
  R573: concat(39,12) = 3912 -> D=9,C=3,A=1,B=2
  R574: concat(40,12) = 4012 -> D=0,C=4,A=1,B=2
  R575: concat(43,12) = 4312 -> D=3,C=4,A=1,B=2
  R576: concat(45,12) = 4512 -> D=5,C=4,A=1,B=2
  R577: concat(46,12) = 4612 -> D=6,C=4,A=1,B=2
  R578: concat(47,12) = 4712 -> D=7,C=4,A=1,B=2
  R579: concat(48,12) = 4812 -> D=8,C=4,A=1,B=2
  R580: concat(49,12) = 4912 -> D=9,C=4,A=1,B=2
  R581: concat(50,12) = 5012 -> D=0,C=5,A=1,B=2
  R582: concat(53,12) = 5312 -> D=3,C=5,A=1,B=2
  R583: concat(54,12) = 5412 -> D=4,C=5,A=1,B=2
  R584: concat(56,12) = 5612 -> D=6,C=5,A=1,B=2
  R585: concat(57,12) = 5712 -> D=7,C=5,A=1,B=2
  R586: concat(58,12) = 5812 -> D=8,C=5,A=1,B=2
  R587: concat(59,12) = 5912 -> D=9,C=5,A=1,B=2
  R588: concat(60,12) = 6012 -> D=0,C=6,A=1,B=2
  R589: concat(63,12) = 6312 -> D=3,C=6,A=1,B=2
  R590: concat(64,12) = 6412 -> D=4,C=6,A=1,B=2
  R591: concat(65,12) = 6512 -> D=5,C=6,A=1,B=2
  R592: concat(67,12) = 6712 -> D=7,C=6,A=1,B=2
  R593: concat(68,12) = 6812 -> D=8,C=6,A=1,B=2
  R594: concat(69,12) = 6912 -> D=9,C=6,A=1,B=2
  R595: concat(70,12) = 7012 -> D=0,C=7,A=1,B=2
  R596: concat(73,12) = 7312 -> D=3,C=7,A=1,B=2
  R597: concat(74,12) = 7412 -> D=4,C=7,A=1,B=2
  R598: concat(75,12) = 7512 -> D=5,C=7,A=1,B=2
  R599: concat(76,12) = 7612 -> D=6,C=7,A=1,B=2
  R600: concat(78,12) = 7812 -> D=8,C=7,A=1,B=2
  R601: concat(79,12) = 7912 -> D=9,C=7,A=1,B=2
  R602: concat(80,12) = 8012 -> D=0,C=8,A=1,B=2
  R603: concat(83,12) = 8312 -> D=3,C=8,A=1,B=2
  R604: concat(84,12) = 8412 -> D=4,C=8,A=1,B=2
  R605: concat(85,12) = 8512 -> D=5,C=8,A=1,B=2
  R606: concat(86,12) = 8612 -> D=6,C=8,A=1,B=2
  R607: concat(87,12) = 8712 -> D=7,C=8,A=1,B=2
  R608: concat(89,12) = 8912 -> D=9,C=8,A=1,B=2
  R609: concat(90,12) = 9012 -> D=0,C=9,A=1,B=2
  R610: concat(93,12) = 9312 -> D=3,C=9,A=1,B=2
  R611: concat(94,12) = 9412 -> D=4,C=9,A=1,B=2
  R612: concat(95,12) = 9512 -> D=5,C=9,A=1,B=2
  R613: concat(96,12) = 9612 -> D=6,C=9,A=1,B=2
  R614: concat(97,12) = 9712 -> D=7,C=9,A=1,B=2
  R615: concat(98,12) = 9812 -> D=8,C=9,A=1,B=2
  R616: concat(02,13) = 0213 -> D=2,C=0,A=1,B=3
  R617: concat(04,13) = 0413 -> D=4,C=0,A=1,B=3
  R618: concat(05,13) = 0513 -> D=5,C=0,A=1,B=3
  R619: concat(06,13) = 0613 -> D=6,C=0,A=1,B=3
  R620: concat(07,13) = 0713 -> D=7,C=0,A=1,B=3
  R621: concat(08,13) = 0813 -> D=8,C=0,A=1,B=3
  R622: concat(09,13) = 0913 -> D=9,C=0,A=1,B=3
  R623: concat(20,13) = 2013 -> D=0,C=2,A=1,B=3
  R624: concat(24,13) = 2413 -> D=4,C=2,A=1,B=3
  R625: concat(25,13) = 2513 -> D=5,C=2,A=1,B=3
  R626: concat(26,13) = 2613 -> D=6,C=2,A=1,B=3
  R627: concat(27,13) = 2713 -> D=7,C=2,A=1,B=3
  R628: concat(28,13) = 2813 -> D=8,C=2,A=1,B=3
  R629: concat(29,13) = 2913 -> D=9,C=2,A=1,B=3
  R630: concat(40,13) = 4013 -> D=0,C=4,A=1,B=3
  R631: concat(42,13) = 4213 -> D=2,C=4,A=1,B=3
  R632: concat(45,13) = 4513 -> D=5,C=4,A=1,B=3
  R633: concat(46,13) = 4613 -> D=6,C=4,A=1,B=3
  R634: concat(47,13) = 4713 -> D=7,C=4,A=1,B=3
  R635: concat(48,13) = 4813 -> D=8,C=4,A=1,B=3
  R636: concat(49,13) = 4913 -> D=9,C=4,A=1,B=3
  R637: concat(50,13) = 5013 -> D=0,C=5,A=1,B=3
  R638: concat(52,13) = 5213 -> D=2,C=5,A=1,B=3
  R639: concat(54,13) = 5413 -> D=4,C=5,A=1,B=3
  R640: concat(56,13) = 5613 -> D=6,C=5,A=1,B=3
  R641: concat(57,13) = 5713 -> D=7,C=5,A=1,B=3
  R642: concat(58,13) = 5813 -> D=8,C=5,A=1,B=3
  R643: concat(59,13) = 5913 -> D=9,C=5,A=1,B=3
  R644: concat(60,13) = 6013 -> D=0,C=6,A=1,B=3
  R645: concat(62,13) = 6213 -> D=2,C=6,A=1,B=3
  R646: concat(64,13) = 6413 -> D=4,C=6,A=1,B=3
  R647: concat(65,13) = 6513 -> D=5,C=6,A=1,B=3
  R648: concat(67,13) = 6713 -> D=7,C=6,A=1,B=3
  R649: concat(68,13) = 6813 -> D=8,C=6,A=1,B=3
  R650: concat(69,13) = 6913 -> D=9,C=6,A=1,B=3
  R651: concat(70,13) = 7013 -> D=0,C=7,A=1,B=3
  R652: concat(72,13) = 7213 -> D=2,C=7,A=1,B=3
  R653: concat(74,13) = 7413 -> D=4,C=7,A=1,B=3
  R654: concat(75,13) = 7513 -> D=5,C=7,A=1,B=3
  R655: concat(76,13) = 7613 -> D=6,C=7,A=1,B=3
  R656: concat(78,13) = 7813 -> D=8,C=7,A=1,B=3
  R657: concat(79,13) = 7913 -> D=9,C=7,A=1,B=3
  R658: concat(80,13) = 8013 -> D=0,C=8,A=1,B=3
  R659: concat(82,13) = 8213 -> D=2,C=8,A=1,B=3
  R660: concat(84,13) = 8413 -> D=4,C=8,A=1,B=3
  R661: concat(85,13) = 8513 -> D=5,C=8,A=1,B=3
  R662: concat(86,13) = 8613 -> D=6,C=8,A=1,B=3
  R663: concat(87,13) = 8713 -> D=7,C=8,A=1,B=3
  R664: concat(89,13) = 8913 -> D=9,C=8,A=1,B=3
  R665: concat(90,13) = 9013 -> D=0,C=9,A=1,B=3
  R666: concat(92,13) = 9213 -> D=2,C=9,A=1,B=3
  R667: concat(94,13) = 9413 -> D=4,C=9,A=1,B=3
  R668: concat(95,13) = 9513 -> D=5,C=9,A=1,B=3
  R669: concat(96,13) = 9613 -> D=6,C=9,A=1,B=3
  R670: concat(97,13) = 9713 -> D=7,C=9,A=1,B=3
  R671: concat(98,13) = 9813 -> D=8,C=9,A=1,B=3
  R672: concat(02,14) = 0214 -> D=2,C=0,A=1,B=4
  R673: concat(03,14) = 0314 -> D=3,C=0,A=1,B=4
  R674: concat(05,14) = 0514 -> D=5,C=0,A=1,B=4
  R675: concat(06,14) = 0614 -> D=6,C=0,A=1,B=4
  R676: concat(07,14) = 0714 -> D=7,C=0,A=1,B=4
  R677: concat(08,14) = 0814 -> D=8,C=0,A=1,B=4
  R678: concat(09,14) = 0914 -> D=9,C=0,A=1,B=4
  R679: concat(20,14) = 2014 -> D=0,C=2,A=1,B=4
  R680: concat(23,14) = 2314 -> D=3,C=2,A=1,B=4
  R681: concat(25,14) = 2514 -> D=5,C=2,A=1,B=4
  R682: concat(26,14) = 2614 -> D=6,C=2,A=1,B=4
  R683: concat(27,14) = 2714 -> D=7,C=2,A=1,B=4
  R684: concat(28,14) = 2814 -> D=8,C=2,A=1,B=4
  R685: concat(29,14) = 2914 -> D=9,C=2,A=1,B=4
  R686: concat(30,14) = 3014 -> D=0,C=3,A=1,B=4
  R687: concat(32,14) = 3214 -> D=2,C=3,A=1,B=4
  R688: concat(35,14) = 3514 -> D=5,C=3,A=1,B=4
  R689: concat(36,14) = 3614 -> D=6,C=3,A=1,B=4
  R690: concat(37,14) = 3714 -> D=7,C=3,A=1,B=4
  R691: concat(38,14) = 3814 -> D=8,C=3,A=1,B=4
  R692: concat(39,14) = 3914 -> D=9,C=3,A=1,B=4
  R693: concat(50,14) = 5014 -> D=0,C=5,A=1,B=4
  R694: concat(52,14) = 5214 -> D=2,C=5,A=1,B=4
  R695: concat(53,14) = 5314 -> D=3,C=5,A=1,B=4
  R696: concat(56,14) = 5614 -> D=6,C=5,A=1,B=4
  R697: concat(57,14) = 5714 -> D=7,C=5,A=1,B=4
  R698: concat(58,14) = 5814 -> D=8,C=5,A=1,B=4
  R699: concat(59,14) = 5914 -> D=9,C=5,A=1,B=4
  R700: concat(60,14) = 6014 -> D=0,C=6,A=1,B=4
  R701: concat(62,14) = 6214 -> D=2,C=6,A=1,B=4
  R702: concat(63,14) = 6314 -> D=3,C=6,A=1,B=4
  R703: concat(65,14) = 6514 -> D=5,C=6,A=1,B=4
  R704: concat(67,14) = 6714 -> D=7,C=6,A=1,B=4
  R705: concat(68,14) = 6814 -> D=8,C=6,A=1,B=4
  R706: concat(69,14) = 6914 -> D=9,C=6,A=1,B=4
  R707: concat(70,14) = 7014 -> D=0,C=7,A=1,B=4
  R708: concat(72,14) = 7214 -> D=2,C=7,A=1,B=4
  R709: concat(73,14) = 7314 -> D=3,C=7,A=1,B=4
  R710: concat(75,14) = 7514 -> D=5,C=7,A=1,B=4
  R711: concat(76,14) = 7614 -> D=6,C=7,A=1,B=4
  R712: concat(78,14) = 7814 -> D=8,C=7,A=1,B=4
  R713: concat(79,14) = 7914 -> D=9,C=7,A=1,B=4
  R714: concat(80,14) = 8014 -> D=0,C=8,A=1,B=4
  R715: concat(82,14) = 8214 -> D=2,C=8,A=1,B=4
  R716: concat(83,14) = 8314 -> D=3,C=8,A=1,B=4
  R717: concat(85,14) = 8514 -> D=5,C=8,A=1,B=4
  R718: concat(86,14) = 8614 -> D=6,C=8,A=1,B=4
  R719: concat(87,14) = 8714 -> D=7,C=8,A=1,B=4
  R720: concat(89,14) = 8914 -> D=9,C=8,A=1,B=4
  R721: concat(90,14) = 9014 -> D=0,C=9,A=1,B=4
  R722: concat(92,14) = 9214 -> D=2,C=9,A=1,B=4
  R723: concat(93,14) = 9314 -> D=3,C=9,A=1,B=4
  R724: concat(95,14) = 9514 -> D=5,C=9,A=1,B=4
  R725: concat(96,14) = 9614 -> D=6,C=9,A=1,B=4
  R726: concat(97,14) = 9714 -> D=7,C=9,A=1,B=4
  R727: concat(98,14) = 9814 -> D=8,C=9,A=1,B=4
  R728: concat(02,15) = 0215 -> D=2,C=0,A=1,B=5
  R729: concat(03,15) = 0315 -> D=3,C=0,A=1,B=5
  R730: concat(04,15) = 0415 -> D=4,C=0,A=1,B=5
  R731: concat(06,15) = 0615 -> D=6,C=0,A=1,B=5
  R732: concat(07,15) = 0715 -> D=7,C=0,A=1,B=5
  R733: concat(08,15) = 0815 -> D=8,C=0,A=1,B=5
  R734: concat(09,15) = 0915 -> D=9,C=0,A=1,B=5
  R735: concat(20,15) = 2015 -> D=0,C=2,A=1,B=5
  R736: concat(23,15) = 2315 -> D=3,C=2,A=1,B=5
  R737: concat(24,15) = 2415 -> D=4,C=2,A=1,B=5
  R738: concat(26,15) = 2615 -> D=6,C=2,A=1,B=5
  R739: concat(27,15) = 2715 -> D=7,C=2,A=1,B=5
  R740: concat(28,15) = 2815 -> D=8,C=2,A=1,B=5
  R741: concat(29,15) = 2915 -> D=9,C=2,A=1,B=5
  R742: concat(30,15) = 3015 -> D=0,C=3,A=1,B=5
  R743: concat(32,15) = 3215 -> D=2,C=3,A=1,B=5
  R744: concat(34,15) = 3415 -> D=4,C=3,A=1,B=5
  R745: concat(36,15) = 3615 -> D=6,C=3,A=1,B=5
  R746: concat(37,15) = 3715 -> D=7,C=3,A=1,B=5
  R747: concat(38,15) = 3815 -> D=8,C=3,A=1,B=5
  R748: concat(39,15) = 3915 -> D=9,C=3,A=1,B=5
  R749: concat(40,15) = 4015 -> D=0,C=4,A=1,B=5
  R750: concat(42,15) = 4215 -> D=2,C=4,A=1,B=5
  R751: concat(43,15) = 4315 -> D=3,C=4,A=1,B=5
  R752: concat(46,15) = 4615 -> D=6,C=4,A=1,B=5
  R753: concat(47,15) = 4715 -> D=7,C=4,A=1,B=5
  R754: concat(48,15) = 4815 -> D=8,C=4,A=1,B=5
  R755: concat(49,15) = 4915 -> D=9,C=4,A=1,B=5
  R756: concat(60,15) = 6015 -> D=0,C=6,A=1,B=5
  R757: concat(62,15) = 6215 -> D=2,C=6,A=1,B=5
  R758: concat(63,15) = 6315 -> D=3,C=6,A=1,B=5
  R759: concat(64,15) = 6415 -> D=4,C=6,A=1,B=5
  R760: concat(67,15) = 6715 -> D=7,C=6,A=1,B=5
  R761: concat(68,15) = 6815 -> D=8,C=6,A=1,B=5
  R762: concat(69,15) = 6915 -> D=9,C=6,A=1,B=5
  R763: concat(70,15) = 7015 -> D=0,C=7,A=1,B=5
  R764: concat(72,15) = 7215 -> D=2,C=7,A=1,B=5
  R765: concat(73,15) = 7315 -> D=3,C=7,A=1,B=5
  R766: concat(74,15) = 7415 -> D=4,C=7,A=1,B=5
  R767: concat(76,15) = 7615 -> D=6,C=7,A=1,B=5
  R768: concat(78,15) = 7815 -> D=8,C=7,A=1,B=5
  R769: concat(79,15) = 7915 -> D=9,C=7,A=1,B=5
  R770: concat(80,15) = 8015 -> D=0,C=8,A=1,B=5
  R771: concat(82,15) = 8215 -> D=2,C=8,A=1,B=5
  R772: concat(83,15) = 8315 -> D=3,C=8,A=1,B=5
  R773: concat(84,15) = 8415 -> D=4,C=8,A=1,B=5
  R774: concat(86,15) = 8615 -> D=6,C=8,A=1,B=5
  R775: concat(87,15) = 8715 -> D=7,C=8,A=1,B=5
  R776: concat(89,15) = 8915 -> D=9,C=8,A=1,B=5
  R777: concat(90,15) = 9015 -> D=0,C=9,A=1,B=5
  R778: concat(92,15) = 9215 -> D=2,C=9,A=1,B=5
  R779: concat(93,15) = 9315 -> D=3,C=9,A=1,B=5
  R780: concat(94,15) = 9415 -> D=4,C=9,A=1,B=5
  R781: concat(96,15) = 9615 -> D=6,C=9,A=1,B=5
  R782: concat(97,15) = 9715 -> D=7,C=9,A=1,B=5
  R783: concat(98,15) = 9815 -> D=8,C=9,A=1,B=5
  R784: concat(02,16) = 0216 -> D=2,C=0,A=1,B=6
  R785: concat(03,16) = 0316 -> D=3,C=0,A=1,B=6
  R786: concat(04,16) = 0416 -> D=4,C=0,A=1,B=6
  R787: concat(05,16) = 0516 -> D=5,C=0,A=1,B=6
  R788: concat(07,16) = 0716 -> D=7,C=0,A=1,B=6
  R789: concat(08,16) = 0816 -> D=8,C=0,A=1,B=6
  R790: concat(09,16) = 0916 -> D=9,C=0,A=1,B=6
  R791: concat(20,16) = 2016 -> D=0,C=2,A=1,B=6
