We infer the transformation rule from the facts by bounded rule-based trial.
I will put my final answer inside \boxed{}.

remap (index 2 is the operator):
fact0 [$?:>`] = [$?>`]: AB : CD = ABCD  (r.len=4, sym=['A', 'B', 'C', 'D'], |sym|=4)
fact1 [\<:\`] = [\<\`]: EF : ED = EFED  (r.len=4, sym=['D', 'E', 'F'], |sym|=3)
  R392: concat(08,12) = 0812 -> A=0,C=1,B=8,D=2
  R393: concat(08,13) = 0813 -> A=0,C=1,B=8,D=3
  R394: concat(08,14) = 0814 -> A=0,C=1,B=8,D=4
  R395: concat(08,15) = 0815 -> A=0,C=1,B=8,D=5
  R396: concat(08,16) = 0816 -> A=0,C=1,B=8,D=6
  R397: concat(08,17) = 0817 -> A=0,C=1,B=8,D=7
  R398: concat(08,19) = 0819 -> A=0,C=1,B=8,D=9
  R399: concat(08,21) = 0821 -> A=0,C=2,B=8,D=1
  R400: concat(08,23) = 0823 -> A=0,C=2,B=8,D=3
  R401: concat(08,24) = 0824 -> A=0,C=2,B=8,D=4
  R402: concat(08,25) = 0825 -> A=0,C=2,B=8,D=5
  R403: concat(08,26) = 0826 -> A=0,C=2,B=8,D=6
  R404: concat(08,27) = 0827 -> A=0,C=2,B=8,D=7
  R405: concat(08,29) = 0829 -> A=0,C=2,B=8,D=9
  R406: concat(08,31) = 0831 -> A=0,C=3,B=8,D=1
  R407: concat(08,32) = 0832 -> A=0,C=3,B=8,D=2
  R408: concat(08,34) = 0834 -> A=0,C=3,B=8,D=4
  R409: concat(08,35) = 0835 -> A=0,C=3,B=8,D=5
  R410: concat(08,36) = 0836 -> A=0,C=3,B=8,D=6
  R411: concat(08,37) = 0837 -> A=0,C=3,B=8,D=7
  R412: concat(08,39) = 0839 -> A=0,C=3,B=8,D=9
  R413: concat(08,41) = 0841 -> A=0,C=4,B=8,D=1
  R414: concat(08,42) = 0842 -> A=0,C=4,B=8,D=2
  R415: concat(08,43) = 0843 -> A=0,C=4,B=8,D=3
  R416: concat(08,45) = 0845 -> A=0,C=4,B=8,D=5
  R417: concat(08,46) = 0846 -> A=0,C=4,B=8,D=6
  R418: concat(08,47) = 0847 -> A=0,C=4,B=8,D=7
  R419: concat(08,49) = 0849 -> A=0,C=4,B=8,D=9
  R420: concat(08,51) = 0851 -> A=0,C=5,B=8,D=1
  R421: concat(08,52) = 0852 -> A=0,C=5,B=8,D=2
  R422: concat(08,53) = 0853 -> A=0,C=5,B=8,D=3
  R423: concat(08,54) = 0854 -> A=0,C=5,B=8,D=4
  R424: concat(08,56) = 0856 -> A=0,C=5,B=8,D=6
  R425: concat(08,57) = 0857 -> A=0,C=5,B=8,D=7
  R426: concat(08,59) = 0859 -> A=0,C=5,B=8,D=9
  R427: concat(08,61) = 0861 -> A=0,C=6,B=8,D=1
  R428: concat(08,62) = 0862 -> A=0,C=6,B=8,D=2
  R429: concat(08,63) = 0863 -> A=0,C=6,B=8,D=3
  R430: concat(08,64) = 0864 -> A=0,C=6,B=8,D=4
  R431: concat(08,65) = 0865 -> A=0,C=6,B=8,D=5
  R432: concat(08,67) = 0867 -> A=0,C=6,B=8,D=7
  R433: concat(08,69) = 0869 -> A=0,C=6,B=8,D=9
  R434: concat(08,71) = 0871 -> A=0,C=7,B=8,D=1
  R435: concat(08,72) = 0872 -> A=0,C=7,B=8,D=2
  R436: concat(08,73) = 0873 -> A=0,C=7,B=8,D=3
  R437: concat(08,74) = 0874 -> A=0,C=7,B=8,D=4
  R438: concat(08,75) = 0875 -> A=0,C=7,B=8,D=5
  R439: concat(08,76) = 0876 -> A=0,C=7,B=8,D=6
  R440: concat(08,79) = 0879 -> A=0,C=7,B=8,D=9
  R441: concat(08,91) = 0891 -> A=0,C=9,B=8,D=1
  R442: concat(08,92) = 0892 -> A=0,C=9,B=8,D=2
  R443: concat(08,93) = 0893 -> A=0,C=9,B=8,D=3
  R444: concat(08,94) = 0894 -> A=0,C=9,B=8,D=4
  R445: concat(08,95) = 0895 -> A=0,C=9,B=8,D=5
  R446: concat(08,96) = 0896 -> A=0,C=9,B=8,D=6
  R447: concat(08,97) = 0897 -> A=0,C=9,B=8,D=7
  R448: concat(09,12) = 0912 -> A=0,C=1,B=9,D=2
  R449: concat(09,13) = 0913 -> A=0,C=1,B=9,D=3
  R450: concat(09,14) = 0914 -> A=0,C=1,B=9,D=4
  R451: concat(09,15) = 0915 -> A=0,C=1,B=9,D=5
  R452: concat(09,16) = 0916 -> A=0,C=1,B=9,D=6
  R453: concat(09,17) = 0917 -> A=0,C=1,B=9,D=7
  R454: concat(09,18) = 0918 -> A=0,C=1,B=9,D=8
  R455: concat(09,21) = 0921 -> A=0,C=2,B=9,D=1
  R456: concat(09,23) = 0923 -> A=0,C=2,B=9,D=3
  R457: concat(09,24) = 0924 -> A=0,C=2,B=9,D=4
  R458: concat(09,25) = 0925 -> A=0,C=2,B=9,D=5
  R459: concat(09,26) = 0926 -> A=0,C=2,B=9,D=6
  R460: concat(09,27) = 0927 -> A=0,C=2,B=9,D=7
  R461: concat(09,28) = 0928 -> A=0,C=2,B=9,D=8
  R462: concat(09,31) = 0931 -> A=0,C=3,B=9,D=1
  R463: concat(09,32) = 0932 -> A=0,C=3,B=9,D=2
  R464: concat(09,34) = 0934 -> A=0,C=3,B=9,D=4
  R465: concat(09,35) = 0935 -> A=0,C=3,B=9,D=5
  R466: concat(09,36) = 0936 -> A=0,C=3,B=9,D=6
  R467: concat(09,37) = 0937 -> A=0,C=3,B=9,D=7
  R468: concat(09,38) = 0938 -> A=0,C=3,B=9,D=8
  R469: concat(09,41) = 0941 -> A=0,C=4,B=9,D=1
  R470: concat(09,42) = 0942 -> A=0,C=4,B=9,D=2
  R471: concat(09,43) = 0943 -> A=0,C=4,B=9,D=3
  R472: concat(09,45) = 0945 -> A=0,C=4,B=9,D=5
  R473: concat(09,46) = 0946 -> A=0,C=4,B=9,D=6
  R474: concat(09,47) = 0947 -> A=0,C=4,B=9,D=7
  R475: concat(09,48) = 0948 -> A=0,C=4,B=9,D=8
  R476: concat(09,51) = 0951 -> A=0,C=5,B=9,D=1
  R477: concat(09,52) = 0952 -> A=0,C=5,B=9,D=2
  R478: concat(09,53) = 0953 -> A=0,C=5,B=9,D=3
  R479: concat(09,54) = 0954 -> A=0,C=5,B=9,D=4
  R480: concat(09,56) = 0956 -> A=0,C=5,B=9,D=6
  R481: concat(09,57) = 0957 -> A=0,C=5,B=9,D=7
  R482: concat(09,58) = 0958 -> A=0,C=5,B=9,D=8
  R483: concat(09,61) = 0961 -> A=0,C=6,B=9,D=1
  R484: concat(09,62) = 0962 -> A=0,C=6,B=9,D=2
  R485: concat(09,63) = 0963 -> A=0,C=6,B=9,D=3
  R486: concat(09,64) = 0964 -> A=0,C=6,B=9,D=4
  R487: concat(09,65) = 0965 -> A=0,C=6,B=9,D=5
  R488: concat(09,67) = 0967 -> A=0,C=6,B=9,D=7
  R489: concat(09,68) = 0968 -> A=0,C=6,B=9,D=8
  R490: concat(09,71) = 0971 -> A=0,C=7,B=9,D=1
  R491: concat(09,72) = 0972 -> A=0,C=7,B=9,D=2
  R492: concat(09,73) = 0973 -> A=0,C=7,B=9,D=3
  R493: concat(09,74) = 0974 -> A=0,C=7,B=9,D=4
  R494: concat(09,75) = 0975 -> A=0,C=7,B=9,D=5
  R495: concat(09,76) = 0976 -> A=0,C=7,B=9,D=6
  R496: concat(09,78) = 0978 -> A=0,C=7,B=9,D=8
  R497: concat(09,81) = 0981 -> A=0,C=8,B=9,D=1
  R498: concat(09,82) = 0982 -> A=0,C=8,B=9,D=2
  R499: concat(09,83) = 0983 -> A=0,C=8,B=9,D=3
  R500: concat(09,84) = 0984 -> A=0,C=8,B=9,D=4
  R501: concat(09,85) = 0985 -> A=0,C=8,B=9,D=5
  R502: concat(09,86) = 0986 -> A=0,C=8,B=9,D=6
  R503: concat(09,87) = 0987 -> A=0,C=8,B=9,D=7
  R504: concat(10,23) = 1023 -> A=1,C=2,B=0,D=3
  R505: concat(10,24) = 1024 -> A=1,C=2,B=0,D=4
  R506: concat(10,25) = 1025 -> A=1,C=2,B=0,D=5
  R507: concat(10,26) = 1026 -> A=1,C=2,B=0,D=6
  R508: concat(10,27) = 1027 -> A=1,C=2,B=0,D=7
  R509: concat(10,28) = 1028 -> A=1,C=2,B=0,D=8
  R510: concat(10,29) = 1029 -> A=1,C=2,B=0,D=9
  R511: concat(10,32) = 1032 -> A=1,C=3,B=0,D=2
  R512: concat(10,34) = 1034 -> A=1,C=3,B=0,D=4
  R513: concat(10,35) = 1035 -> A=1,C=3,B=0,D=5
  R514: concat(10,36) = 1036 -> A=1,C=3,B=0,D=6
  R515: concat(10,37) = 1037 -> A=1,C=3,B=0,D=7
  R516: concat(10,38) = 1038 -> A=1,C=3,B=0,D=8
  R517: concat(10,39) = 1039 -> A=1,C=3,B=0,D=9
  R518: concat(10,42) = 1042 -> A=1,C=4,B=0,D=2
  R519: concat(10,43) = 1043 -> A=1,C=4,B=0,D=3
  R520: concat(10,45) = 1045 -> A=1,C=4,B=0,D=5
  R521: concat(10,46) = 1046 -> A=1,C=4,B=0,D=6
  R522: concat(10,47) = 1047 -> A=1,C=4,B=0,D=7
  R523: concat(10,48) = 1048 -> A=1,C=4,B=0,D=8
  R524: concat(10,49) = 1049 -> A=1,C=4,B=0,D=9
  R525: concat(10,52) = 1052 -> A=1,C=5,B=0,D=2
  R526: concat(10,53) = 1053 -> A=1,C=5,B=0,D=3
  R527: concat(10,54) = 1054 -> A=1,C=5,B=0,D=4
  R528: concat(10,56) = 1056 -> A=1,C=5,B=0,D=6
  R529: concat(10,57) = 1057 -> A=1,C=5,B=0,D=7
  R530: concat(10,58) = 1058 -> A=1,C=5,B=0,D=8
  R531: concat(10,59) = 1059 -> A=1,C=5,B=0,D=9
  R532: concat(10,62) = 1062 -> A=1,C=6,B=0,D=2
  R533: concat(10,63) = 1063 -> A=1,C=6,B=0,D=3
  R534: concat(10,64) = 1064 -> A=1,C=6,B=0,D=4
  R535: concat(10,65) = 1065 -> A=1,C=6,B=0,D=5
  R536: concat(10,67) = 1067 -> A=1,C=6,B=0,D=7
  R537: concat(10,68) = 1068 -> A=1,C=6,B=0,D=8
  R538: concat(10,69) = 1069 -> A=1,C=6,B=0,D=9
  R539: concat(10,72) = 1072 -> A=1,C=7,B=0,D=2
  R540: concat(10,73) = 1073 -> A=1,C=7,B=0,D=3
  R541: concat(10,74) = 1074 -> A=1,C=7,B=0,D=4
  R542: concat(10,75) = 1075 -> A=1,C=7,B=0,D=5
  R543: concat(10,76) = 1076 -> A=1,C=7,B=0,D=6
  R544: concat(10,78) = 1078 -> A=1,C=7,B=0,D=8
  R545: concat(10,79) = 1079 -> A=1,C=7,B=0,D=9
  R546: concat(10,82) = 1082 -> A=1,C=8,B=0,D=2
  R547: concat(10,83) = 1083 -> A=1,C=8,B=0,D=3
  R548: concat(10,84) = 1084 -> A=1,C=8,B=0,D=4
  R549: concat(10,85) = 1085 -> A=1,C=8,B=0,D=5
  R550: concat(10,86) = 1086 -> A=1,C=8,B=0,D=6
  R551: concat(10,87) = 1087 -> A=1,C=8,B=0,D=7
  R552: concat(10,89) = 1089 -> A=1,C=8,B=0,D=9
  R553: concat(10,92) = 1092 -> A=1,C=9,B=0,D=2
  R554: concat(10,93) = 1093 -> A=1,C=9,B=0,D=3
  R555: concat(10,94) = 1094 -> A=1,C=9,B=0,D=4
  R556: concat(10,95) = 1095 -> A=1,C=9,B=0,D=5
  R557: concat(10,96) = 1096 -> A=1,C=9,B=0,D=6
  R558: concat(10,97) = 1097 -> A=1,C=9,B=0,D=7
  R559: concat(10,98) = 1098 -> A=1,C=9,B=0,D=8
  R560: concat(12,03) = 1203 -> A=1,C=0,B=2,D=3
  R561: concat(12,04) = 1204 -> A=1,C=0,B=2,D=4
  R562: concat(12,05) = 1205 -> A=1,C=0,B=2,D=5
  R563: concat(12,06) = 1206 -> A=1,C=0,B=2,D=6
  R564: concat(12,07) = 1207 -> A=1,C=0,B=2,D=7
  R565: concat(12,08) = 1208 -> A=1,C=0,B=2,D=8
  R566: concat(12,09) = 1209 -> A=1,C=0,B=2,D=9
  R567: concat(12,30) = 1230 -> A=1,C=3,B=2,D=0
  R568: concat(12,34) = 1234 -> A=1,C=3,B=2,D=4
  R569: concat(12,35) = 1235 -> A=1,C=3,B=2,D=5
  R570: concat(12,36) = 1236 -> A=1,C=3,B=2,D=6
  R571: concat(12,37) = 1237 -> A=1,C=3,B=2,D=7
  R572: concat(12,38) = 1238 -> A=1,C=3,B=2,D=8
  R573: concat(12,39) = 1239 -> A=1,C=3,B=2,D=9
  R574: concat(12,40) = 1240 -> A=1,C=4,B=2,D=0
  R575: concat(12,43) = 1243 -> A=1,C=4,B=2,D=3
  R576: concat(12,45) = 1245 -> A=1,C=4,B=2,D=5
  R577: concat(12,46) = 1246 -> A=1,C=4,B=2,D=6
  R578: concat(12,47) = 1247 -> A=1,C=4,B=2,D=7
  R579: concat(12,48) = 1248 -> A=1,C=4,B=2,D=8
  R580: concat(12,49) = 1249 -> A=1,C=4,B=2,D=9
  R581: concat(12,50) = 1250 -> A=1,C=5,B=2,D=0
  R582: concat(12,53) = 1253 -> A=1,C=5,B=2,D=3
  R583: concat(12,54) = 1254 -> A=1,C=5,B=2,D=4
  R584: concat(12,56) = 1256 -> A=1,C=5,B=2,D=6
  R585: concat(12,57) = 1257 -> A=1,C=5,B=2,D=7
  R586: concat(12,58) = 1258 -> A=1,C=5,B=2,D=8
  R587: concat(12,59) = 1259 -> A=1,C=5,B=2,D=9
  R588: concat(12,60) = 1260 -> A=1,C=6,B=2,D=0
  R589: concat(12,63) = 1263 -> A=1,C=6,B=2,D=3
  R590: concat(12,64) = 1264 -> A=1,C=6,B=2,D=4
  R591: concat(12,65) = 1265 -> A=1,C=6,B=2,D=5
  R592: concat(12,67) = 1267 -> A=1,C=6,B=2,D=7
  R593: concat(12,68) = 1268 -> A=1,C=6,B=2,D=8
  R594: concat(12,69) = 1269 -> A=1,C=6,B=2,D=9
  R595: concat(12,70) = 1270 -> A=1,C=7,B=2,D=0
  R596: concat(12,73) = 1273 -> A=1,C=7,B=2,D=3
  R597: concat(12,74) = 1274 -> A=1,C=7,B=2,D=4
  R598: concat(12,75) = 1275 -> A=1,C=7,B=2,D=5
  R599: concat(12,76) = 1276 -> A=1,C=7,B=2,D=6
  R600: concat(12,78) = 1278 -> A=1,C=7,B=2,D=8
  R601: concat(12,79) = 1279 -> A=1,C=7,B=2,D=9
  R602: concat(12,80) = 1280 -> A=1,C=8,B=2,D=0
  R603: concat(12,83) = 1283 -> A=1,C=8,B=2,D=3
  R604: concat(12,84) = 1284 -> A=1,C=8,B=2,D=4
  R605: concat(12,85) = 1285 -> A=1,C=8,B=2,D=5
  R606: concat(12,86) = 1286 -> A=1,C=8,B=2,D=6
  R607: concat(12,87) = 1287 -> A=1,C=8,B=2,D=7
  R608: concat(12,89) = 1289 -> A=1,C=8,B=2,D=9
  R609: concat(12,90) = 1290 -> A=1,C=9,B=2,D=0
  R610: concat(12,93) = 1293 -> A=1,C=9,B=2,D=3
  R611: concat(12,94) = 1294 -> A=1,C=9,B=2,D=4
  R612: concat(12,95) = 1295 -> A=1,C=9,B=2,D=5
  R613: concat(12,96) = 1296 -> A=1,C=9,B=2,D=6
  R614: concat(12,97) = 1297 -> A=1,C=9,B=2,D=7
  R615: concat(12,98) = 1298 -> A=1,C=9,B=2,D=8
  R616: concat(13,02) = 1302 -> A=1,C=0,B=3,D=2
  R617: concat(13,04) = 1304 -> A=1,C=0,B=3,D=4
  R618: concat(13,05) = 1305 -> A=1,C=0,B=3,D=5
  R619: concat(13,06) = 1306 -> A=1,C=0,B=3,D=6
  R620: concat(13,07) = 1307 -> A=1,C=0,B=3,D=7
  R621: concat(13,08) = 1308 -> A=1,C=0,B=3,D=8
  R622: concat(13,09) = 1309 -> A=1,C=0,B=3,D=9
  R623: concat(13,20) = 1320 -> A=1,C=2,B=3,D=0
  R624: concat(13,24) = 1324 -> A=1,C=2,B=3,D=4
  R625: concat(13,25) = 1325 -> A=1,C=2,B=3,D=5
  R626: concat(13,26) = 1326 -> A=1,C=2,B=3,D=6
  R627: concat(13,27) = 1327 -> A=1,C=2,B=3,D=7
  R628: concat(13,28) = 1328 -> A=1,C=2,B=3,D=8
  R629: concat(13,29) = 1329 -> A=1,C=2,B=3,D=9
  R630: concat(13,40) = 1340 -> A=1,C=4,B=3,D=0
  R631: concat(13,42) = 1342 -> A=1,C=4,B=3,D=2
  R632: concat(13,45) = 1345 -> A=1,C=4,B=3,D=5
  R633: concat(13,46) = 1346 -> A=1,C=4,B=3,D=6
  R634: concat(13,47) = 1347 -> A=1,C=4,B=3,D=7
  R635: concat(13,48) = 1348 -> A=1,C=4,B=3,D=8
  R636: concat(13,49) = 1349 -> A=1,C=4,B=3,D=9
  R637: concat(13,50) = 1350 -> A=1,C=5,B=3,D=0
  R638: concat(13,52) = 1352 -> A=1,C=5,B=3,D=2
  R639: concat(13,54) = 1354 -> A=1,C=5,B=3,D=4
  R640: concat(13,56) = 1356 -> A=1,C=5,B=3,D=6
  R641: concat(13,57) = 1357 -> A=1,C=5,B=3,D=7
  R642: concat(13,58) = 1358 -> A=1,C=5,B=3,D=8
  R643: concat(13,59) = 1359 -> A=1,C=5,B=3,D=9
  R644: concat(13,60) = 1360 -> A=1,C=6,B=3,D=0
  R645: concat(13,62) = 1362 -> A=1,C=6,B=3,D=2
  R646: concat(13,64) = 1364 -> A=1,C=6,B=3,D=4
  R647: concat(13,65) = 1365 -> A=1,C=6,B=3,D=5
  R648: concat(13,67) = 1367 -> A=1,C=6,B=3,D=7
  R649: concat(13,68) = 1368 -> A=1,C=6,B=3,D=8
  R650: concat(13,69) = 1369 -> A=1,C=6,B=3,D=9
  R651: concat(13,70) = 1370 -> A=1,C=7,B=3,D=0
  R652: concat(13,72) = 1372 -> A=1,C=7,B=3,D=2
  R653: concat(13,74) = 1374 -> A=1,C=7,B=3,D=4
  R654: concat(13,75) = 1375 -> A=1,C=7,B=3,D=5
  R655: concat(13,76) = 1376 -> A=1,C=7,B=3,D=6
  R656: concat(13,78) = 1378 -> A=1,C=7,B=3,D=8
  R657: concat(13,79) = 1379 -> A=1,C=7,B=3,D=9
  R658: concat(13,80) = 1380 -> A=1,C=8,B=3,D=0
  R659: concat(13,82) = 1382 -> A=1,C=8,B=3,D=2
  R660: concat(13,84) = 1384 -> A=1,C=8,B=3,D=4
  R661: concat(13,85) = 1385 -> A=1,C=8,B=3,D=5
  R662: concat(13,86) = 1386 -> A=1,C=8,B=3,D=6
  R663: concat(13,87) = 1387 -> A=1,C=8,B=3,D=7
  R664: concat(13,89) = 1389 -> A=1,C=8,B=3,D=9
  R665: concat(13,90) = 1390 -> A=1,C=9,B=3,D=0
  R666: concat(13,92) = 1392 -> A=1,C=9,B=3,D=2
  R667: concat(13,94) = 1394 -> A=1,C=9,B=3,D=4
  R668: concat(13,95) = 1395 -> A=1,C=9,B=3,D=5
  R669: concat(13,96) = 1396 -> A=1,C=9,B=3,D=6
  R670: concat(13,97) = 1397 -> A=1,C=9,B=3,D=7
  R671: concat(13,98) = 1398 -> A=1,C=9,B=3,D=8
  R672: concat(14,02) = 1402 -> A=1,C=0,B=4,D=2
  R673: concat(14,03) = 1403 -> A=1,C=0,B=4,D=3
  R674: concat(14,05) = 1405 -> A=1,C=0,B=4,D=5
  R675: concat(14,06) = 1406 -> A=1,C=0,B=4,D=6
  R676: concat(14,07) = 1407 -> A=1,C=0,B=4,D=7
  R677: concat(14,08) = 1408 -> A=1,C=0,B=4,D=8
  R678: concat(14,09) = 1409 -> A=1,C=0,B=4,D=9
  R679: concat(14,20) = 1420 -> A=1,C=2,B=4,D=0
  R680: concat(14,23) = 1423 -> A=1,C=2,B=4,D=3
  R681: concat(14,25) = 1425 -> A=1,C=2,B=4,D=5
  R682: concat(14,26) = 1426 -> A=1,C=2,B=4,D=6
  R683: concat(14,27) = 1427 -> A=1,C=2,B=4,D=7
  R684: concat(14,28) = 1428 -> A=1,C=2,B=4,D=8
  R685: concat(14,29) = 1429 -> A=1,C=2,B=4,D=9
  R686: concat(14,30) = 1430 -> A=1,C=3,B=4,D=0
  R687: concat(14,32) = 1432 -> A=1,C=3,B=4,D=2
  R688: concat(14,35) = 1435 -> A=1,C=3,B=4,D=5
  R689: concat(14,36) = 1436 -> A=1,C=3,B=4,D=6
  R690: concat(14,37) = 1437 -> A=1,C=3,B=4,D=7
  R691: concat(14,38) = 1438 -> A=1,C=3,B=4,D=8
  R692: concat(14,39) = 1439 -> A=1,C=3,B=4,D=9
  R693: concat(14,50) = 1450 -> A=1,C=5,B=4,D=0
  R694: concat(14,52) = 1452 -> A=1,C=5,B=4,D=2
  R695: concat(14,53) = 1453 -> A=1,C=5,B=4,D=3
  R696: concat(14,56) = 1456 -> A=1,C=5,B=4,D=6
  R697: concat(14,57) = 1457 -> A=1,C=5,B=4,D=7
  R698: concat(14,58) = 1458 -> A=1,C=5,B=4,D=8
  R699: concat(14,59) = 1459 -> A=1,C=5,B=4,D=9
  R700: concat(14,60) = 1460 -> A=1,C=6,B=4,D=0
  R701: concat(14,62) = 1462 -> A=1,C=6,B=4,D=2
  R702: concat(14,63) = 1463 -> A=1,C=6,B=4,D=3
  R703: concat(14,65) = 1465 -> A=1,C=6,B=4,D=5
  R704: concat(14,67) = 1467 -> A=1,C=6,B=4,D=7
  R705: concat(14,68) = 1468 -> A=1,C=6,B=4,D=8
  R706: concat(14,69) = 1469 -> A=1,C=6,B=4,D=9
  R707: concat(14,70) = 1470 -> A=1,C=7,B=4,D=0
  R708: concat(14,72) = 1472 -> A=1,C=7,B=4,D=2
  R709: concat(14,73) = 1473 -> A=1,C=7,B=4,D=3
  R710: concat(14,75) = 1475 -> A=1,C=7,B=4,D=5
  R711: concat(14,76) = 1476 -> A=1,C=7,B=4,D=6
  R712: concat(14,78) = 1478 -> A=1,C=7,B=4,D=8
  R713: concat(14,79) = 1479 -> A=1,C=7,B=4,D=9
  R714: concat(14,80) = 1480 -> A=1,C=8,B=4,D=0
  R715: concat(14,82) = 1482 -> A=1,C=8,B=4,D=2
  R716: concat(14,83) = 1483 -> A=1,C=8,B=4,D=3
  R717: concat(14,85) = 1485 -> A=1,C=8,B=4,D=5
  R718: concat(14,86) = 1486 -> A=1,C=8,B=4,D=6
  R719: concat(14,87) = 1487 -> A=1,C=8,B=4,D=7
  R720: concat(14,89) = 1489 -> A=1,C=8,B=4,D=9
  R721: concat(14,90) = 1490 -> A=1,C=9,B=4,D=0
  R722: concat(14,92) = 1492 -> A=1,C=9,B=4,D=2
  R723: concat(14,93) = 1493 -> A=1,C=9,B=4,D=3
  R724: concat(14,95) = 1495 -> A=1,C=9,B=4,D=5
  R725: concat(14,96) = 1496 -> A=1,C=9,B=4,D=6
  R726: concat(14,97) = 1497 -> A=1,C=9,B=4,D=7
  R727: concat(14,98) = 1498 -> A=1,C=9,B=4,D=8
  R728: concat(15,02) = 1502 -> A=1,C=0,B=5,D=2
  R729: concat(15,03) = 1503 -> A=1,C=0,B=5,D=3
  R730: concat(15,04) = 1504 -> A=1,C=0,B=5,D=4
  R731: concat(15,06) = 1506 -> A=1,C=0,B=5,D=6
  R732: concat(15,07) = 1507 -> A=1,C=0,B=5,D=7
  R733: concat(15,08) = 1508 -> A=1,C=0,B=5,D=8
  R734: concat(15,09) = 1509 -> A=1,C=0,B=5,D=9
  R735: concat(15,20) = 1520 -> A=1,C=2,B=5,D=0
  R736: concat(15,23) = 1523 -> A=1,C=2,B=5,D=3
  R737: concat(15,24) = 1524 -> A=1,C=2,B=5,D=4
  R738: concat(15,26) = 1526 -> A=1,C=2,B=5,D=6
  R739: concat(15,27) = 1527 -> A=1,C=2,B=5,D=7
  R740: concat(15,28) = 1528 -> A=1,C=2,B=5,D=8
  R741: concat(15,29) = 1529 -> A=1,C=2,B=5,D=9
  R742: concat(15,30) = 1530 -> A=1,C=3,B=5,D=0
  R743: concat(15,32) = 1532 -> A=1,C=3,B=5,D=2
  R744: concat(15,34) = 1534 -> A=1,C=3,B=5,D=4
  R745: concat(15,36) = 1536 -> A=1,C=3,B=5,D=6
  R746: concat(15,37) = 1537 -> A=1,C=3,B=5,D=7
  R747: concat(15,38) = 1538 -> A=1,C=3,B=5,D=8
  R748: concat(15,39) = 1539 -> A=1,C=3,B=5,D=9
  R749: concat(15,40) = 1540 -> A=1,C=4,B=5,D=0
  R750: concat(15,42) = 1542 -> A=1,C=4,B=5,D=2
  R751: concat(15,43) = 1543 -> A=1,C=4,B=5,D=3
  R752: concat(15,46) = 1546 -> A=1,C=4,B=5,D=6
  R753: concat(15,47) = 1547 -> A=1,C=4,B=5,D=7
  R754: concat(15,48) = 1548 -> A=1,C=4,B=5,D=8
  R755: concat(15,49) = 1549 -> A=1,C=4,B=5,D=9
  R756: concat(15,60) = 1560 -> A=1,C=6,B=5,D=0
  R757: concat(15,62) = 1562 -> A=1,C=6,B=5,D=2
  R758: concat(15,63) = 1563 -> A=1,C=6,B=5,D=3
  R759: concat(15,64) = 1564 -> A=1,C=6,B=5,D=4
  R760: concat(15,67) = 1567 -> A=1,C=6,B=5,D=7
  R761: concat(15,68) = 1568 -> A=1,C=6,B=5,D=8
  R762: concat(15,69) = 1569 -> A=1,C=6,B=5,D=9
  R763: concat(15,70) = 1570 -> A=1,C=7,B=5,D=0
  R764: concat(15,72) = 1572 -> A=1,C=7,B=5,D=2
  R765: concat(15,73) = 1573 -> A=1,C=7,B=5,D=3
  R766: concat(15,74) = 1574 -> A=1,C=7,B=5,D=4
  R767: concat(15,76) = 1576 -> A=1,C=7,B=5,D=6
  R768: concat(15,78) = 1578 -> A=1,C=7,B=5,D=8
  R769: concat(15,79) = 1579 -> A=1,C=7,B=5,D=9
  R770: concat(15,80) = 1580 -> A=1,C=8,B=5,D=0
  R771: concat(15,82) = 1582 -> A=1,C=8,B=5,D=2
  R772: concat(15,83) = 1583 -> A=1,C=8,B=5,D=3
  R773: concat(15,84) = 1584 -> A=1,C=8,B=5,D=4
  R774: concat(15,86) = 1586 -> A=1,C=8,B=5,D=6
  R775: concat(15,87) = 1587 -> A=1,C=8,B=5,D=7
  R776: concat(15,89) = 1589 -> A=1,C=8,B=5,D=9
  R777: concat(15,90) = 1590 -> A=1,C=9,B=5,D=0
  R778: concat(15,92) = 1592 -> A=1,C=9,B=5,D=2
  R779: concat(15,93) = 1593 -> A=1,C=9,B=5,D=3
  R780: concat(15,94) = 1594 -> A=1,C=9,B=5,D=4
  R781: concat(15,96) = 1596 -> A=1,C=9,B=5,D=6
  R782: concat(15,97) = 1597 -> A=1,C=9,B=5,D=7
  R783: concat(15,98) = 1598 -> A=1,C=9,B=5,D=8
  R784: concat(16,02) = 1602 -> A=1,C=0,B=6,D=2
  R785: concat(16,03) = 1603 -> A=1,C=0,B=6,D=3
  R786: concat(16,04) = 1604 -> A=1,C=0,B=6,D=4
  R787: concat(16,05) = 1605 -> A=1,C=0,B=6,D=5
  R788: concat(16,07) = 1607 -> A=1,C=0,B=6,D=7
  R789: concat(16,08) = 1608 -> A=1,C=0,B=6,D=8
  R790: concat(16,09) = 1609 -> A=1,C=0,B=6,D=9
  R791: concat(16,20) = 1620 -> A=1,C=2,B=6,D=0
  R792: concat(16,23) = 1623 -> A=1,C=2,B=6,D=3
  R793: concat(16,24) = 1624 -> A=1,C=2,B=6,D=4
  R794: concat(16,25) = 1625 -> A=1,C=2,B=6,D=5
  R795: concat(16,27) = 1627 -> A=1,C=2,B=6,D=7
  R796: concat(16,28) = 1628 -> A=1,C=2,B=6,D=8
  R797: concat(16,29) = 1629 -> A=1,C=2,B=6,D=9
